m/z,RT1_center,RT2_center
162.0,5504.272,1.112
129.0,8374.048,1.088
168.0,5651.44,1.448
63.0,4085.152,1.824
101.0,4085.152,1.832
102.0,4106.176,1.832
127.0,4088.656,1.832
129.0,4099.168,1.688
142.0,4778.944,1.576
128.0,4099.168,1.816
141.0,5378.128,1.448
160.0,7456.0,1.28
64.0,7480.528,1.28
126.0,4085.152,1.832
115.0,4845.52,1.592
115.0,4761.424,1.584
141.0,4778.944,1.584
168.0,6085.936,1.496
152.0,5188.912,1.896
168.0,5696.992,1.456
153.0,5633.92,1.52
143.0,4842.016,1.584
116.0,4754.416,1.48
142.0,4831.504,1.44
141.0,4831.504,1.432
142.0,4884.064,1.568
464.0,8577.28,1.464
464.0,8510.704,1.656
153.0,5192.416,1.736
145.0,5718.016,1.056
216.0,6212.08,1.048
92.0,4792.96,1.144
92.0,4579.216,1.056
106.0,5052.256,1.088
92.0,3331.792,1.104
92.0,3941.488,1.08
92.0,4382.992,1.096
168.0,5423.68,1.592
106.0,3930.976,1.048
160.0,7396.432,1.352
118.0,3163.6,1.216
124.0,3535.024,2.256
117.0,3153.088,1.216
160.0,4799.968,1.152
152.0,5651.44,1.448
141.0,5644.432,1.328
154.0,5192.416,1.568
184.0,6092.944,1.288
170.0,5770.576,1.336
174.0,5003.2,1.112
159.0,4912.096,1.104
261.0,9043.312,1.16
170.0,5893.216,1.4
141.0,5451.712,1.472
170.0,5819.632,1.36
184.0,6152.512,1.304
170.0,5945.776,1.416
230.0,7025.008,1.56
184.0,6212.08,1.304
369.0,10245.184,2.424
144.0,6474.88,1.376
230.0,6685.12,1.072
200.0,7529.584,2.384
242.0,6937.408,1.112
64.0,7378.912,1.416
64.0,7431.472,1.464
174.0,5455.216,2.408
168.0,5756.56,1.784
143.0,6485.392,1.168
184.0,6467.872,1.376
153.0,6348.736,1.232
145.0,6240.112,1.088
213.0,7704.784,1.32
145.0,6289.168,1.08
64.0,7683.76,1.224
168.0,8882.128,1.456
369.0,9278.08,1.592
64.0,7326.352,1.44
184.0,6636.064,2.168
216.0,6257.632,1.048
173.0,5956.288,1.168
145.0,5945.776,1.168
216.0,6317.2,1.048
185.0,6751.696,1.056
201.0,7694.272,2.544
188.0,5577.856,1.064
200.0,7697.776,2.416
182.0,6110.464,1.376
119.0,4032.592,1.08
145.0,4659.808,1.112
188.0,5686.48,1.048
120.0,5360.608,1.024
145.0,4449.568,1.12
119.0,3966.016,1.072
145.0,4782.448,1.12
145.0,4736.896,1.104
145.0,4835.008,1.112
145.0,4915.6,1.104
91.0,3321.28,1.088
188.0,5378.128,1.032
188.0,5448.208,1.04
105.0,3615.616,1.024
117.0,3499.984,1.16
105.0,3937.984,1.04
119.0,3478.96,1.088
117.0,4740.4,1.112
119.0,3850.384,1.016
117.0,3829.36,1.168
117.0,4407.52,1.216
145.0,5115.328,1.064
104.0,3952.0,1.248
91.0,3934.48,1.048
173.0,5707.504,1.048
145.0,5640.928,1.032
145.0,5399.152,1.072
145.0,5220.448,1.12
145.0,5167.888,1.056
117.0,4148.224,1.208
117.0,3885.424,1.192
105.0,3310.768,1.08
184.0,6548.464,1.392
203.0,7701.28,2.128
218.0,8044.672,2.008
160.0,7333.36,1.376
145.0,6092.944,1.056
160.0,7084.576,1.424
174.0,5059.264,1.12
184.0,6261.136,1.336
105.0,5059.264,1.08
116.0,3510.496,1.16
141.0,4880.56,1.632
145.0,4326.928,1.128
160.0,4467.088,1.136
159.0,4856.032,1.064
115.0,3510.496,1.16
91.0,5367.616,1.04
119.0,3335.296,1.104
119.0,3517.504,1.112
128.0,4158.736,1.936
129.0,4771.936,1.12
116.0,4158.736,1.224
115.0,3888.928,1.192
174.0,5171.392,1.08
174.0,5122.336,1.072
160.0,4736.896,1.128
160.0,4649.296,1.128
116.0,3888.928,1.192
116.0,3829.36,1.144
116.0,4102.672,1.192
167.0,6061.408,1.472
170.0,6022.864,1.432
70.0,9029.296,1.16
216.0,8093.728,2.456
188.0,5637.424,1.112
153.0,5732.032,1.32
141.0,5507.776,1.4
174.0,4915.6,1.104
202.0,7557.616,2.216
160.0,7161.664,1.432
160.0,7221.232,1.464
150.0,7333.36,1.368
129.0,6471.376,1.16
182.0,6534.448,1.36
145.0,5819.632,1.032
188.0,5753.056,1.32
