m/z,RT1_center,RT2_center
168.0,5651.44,1.448
63.0,4085.152,1.824
101.0,4085.152,1.832
102.0,4106.176,1.832
127.0,4088.656,1.832
129.0,4099.168,1.688
142.0,4778.944,1.576
128.0,4099.168,1.816
62.0,4095.664,1.824
141.0,5378.128,1.448
76.0,4085.152,1.816
160.0,7456.0,1.28
64.0,7480.528,1.28
464.0,6580.0,1.112
168.0,6085.936,1.496
142.0,4831.504,1.44
141.0,4831.504,1.432
464.0,8577.28,1.464
464.0,8510.704,1.656
36.0,2203.504,1.584
464.0,8100.736,1.344
464.0,8079.712,2.896
464.0,8633.344,1.688
464.0,6247.12,1.168
160.0,7396.432,1.352
118.0,3163.6,1.216
124.0,3535.024,2.256
117.0,3153.088,1.216
108.0,3853.888,1.208
67.0,3853.888,1.192
39.0,3850.384,1.192
68.0,3850.384,1.192
109.0,3853.888,1.192
81.0,3853.888,1.192
95.0,3853.888,1.2
80.0,3850.384,1.192
182.0,6047.392,1.4
91.0,2403.232,1.208
116.0,3149.584,1.192
120.0,2413.744,1.208
132.0,3846.88,1.08
453.0,10560.544,1.152
467.0,9719.584,1.056
467.0,9842.224,1.056
464.0,2242.048,1.72
467.0,11289.376,1.08
467.0,11089.648,1.072
467.0,10914.448,1.064
467.0,10788.304,1.072
467.0,10651.648,1.072
467.0,10567.552,1.064
467.0,10511.488,1.064
467.0,10287.232,1.072
464.0,6551.968,2.0
115.0,3149.584,1.192
453.0,11405.008,1.144
132.0,5581.36,1.336
132.0,6170.032,1.144
63.0,3149.584,1.184
58.0,3149.584,1.192
132.0,5637.424,1.184
145.0,6240.112,1.088
213.0,7704.784,1.32
145.0,6289.168,1.08
64.0,7683.76,1.224
467.0,9498.832,1.08
150.0,6944.416,1.184
149.0,6944.416,1.2
353.0,8829.568,2.496
453.0,10472.944,1.056
370.0,8868.112,2.488
371.0,8836.576,2.504
453.0,9877.264,1.064
464.0,5893.216,1.552
464.0,6015.856,1.12
453.0,11226.304,1.08
464.0,5658.448,1.752
369.0,8864.608,2.496
506.0,8808.544,2.496
464.0,6653.584,1.424
464.0,6184.048,1.232
453.0,11135.2,1.072
203.0,7701.28,2.128
218.0,8044.672,2.008
464.0,8622.832,2.856
464.0,7147.648,1.336
464.0,6730.672,2.512
202.0,7557.616,2.216
36.0,2200.0,2.656
467.0,10034.944,1.064
467.0,11026.576,1.08
467.0,11341.936,1.072
467.0,11145.712,1.072
467.0,9954.352,1.08
426.0,7683.76,1.384
257.0,7690.768,1.32
260.0,7680.256,1.36
376.0,7694.272,1.224
464.0,7484.032,1.8
98.0,7683.76,1.608
130.0,7715.296,1.44
244.0,7694.272,1.68
231.0,7708.288,1.632
203.0,7683.76,1.328
187.0,7680.256,1.416
464.0,6488.896,2.296
464.0,7806.4,1.52
146.0,7690.768,2.112
187.0,7690.768,2.368
464.0,4820.992,1.968
68.0,9039.808,1.144
65.0,2382.208,1.208
98.0,7690.768,2.288
92.0,2382.208,1.208
120.0,7673.248,1.368
132.0,6558.976,1.288
464.0,8037.664,1.232
132.0,6324.208,1.112
464.0,8198.848,1.44
504.0,8836.576,2.464
504.0,6271.648,1.152
503.0,8976.736,2.464
464.0,5539.312,1.816
464.0,5034.736,1.656
426.0,7694.272,2.912
426.0,7694.272,2.208
426.0,6261.136,1.16
415.0,6271.648,1.152
402.0,6268.144,1.152
464.0,3076.0,1.288
464.0,6313.696,1.16
464.0,6215.584,2.488
464.0,5917.744,3.016
464.0,5700.496,2.56
503.0,8903.152,2.464
503.0,8829.568,2.464
535.0,8903.152,2.456
535.0,6271.648,1.152
130.0,7690.768,3.112
130.0,7694.272,2.328
132.0,5588.368,2.632
138.0,7694.272,2.32
533.0,6271.648,1.152
464.0,6513.424,1.456
218.0,9032.8,1.096
218.0,9095.872,1.048
475.0,8983.744,2.464
476.0,6271.648,1.152
489.0,8906.656,2.48
453.0,9709.072,1.08
218.0,9225.52,1.048
467.0,9064.336,1.088
475.0,6271.648,1.16
475.0,8903.152,2.456
466.0,8752.48,1.064
464.0,7876.48,2.84
464.0,6723.664,3.304
464.0,6601.024,3.2
65.0,7690.768,3.056
218.0,8980.24,1.048
218.0,8840.08,1.08
62.0,3146.08,1.104
61.0,7697.776,1.568
58.0,8332.0,1.168
53.0,3850.384,1.04
39.0,7694.272,2.8
453.0,9961.36,1.08
453.0,10781.296,1.08
503.0,6275.152,1.152
466.0,8843.584,1.064
376.0,7697.776,2.192
376.0,7704.784,2.992
392.0,8780.512,1.264
392.0,8861.104,1.256
401.0,6268.144,1.152
272.0,10059.472,1.456
274.0,10062.976,3.072
274.0,10066.48,1.312
274.0,10066.48,2.192
275.0,10059.472,2.872
429.0,6271.648,1.144
430.0,6268.144,1.144
453.0,8766.496,1.096
433.0,8910.16,2.44
432.0,6271.648,1.152
431.0,6268.144,1.152
453.0,9523.36,1.064
298.0,6268.144,1.152
306.0,9025.792,2.392
353.0,8899.648,2.472
453.0,8819.056,1.088
453.0,8875.12,1.08
453.0,8931.184,1.072
453.0,8976.736,1.088
353.0,8976.736,2.48
354.0,8906.656,2.448
459.0,6275.152,1.144
460.0,6275.152,1.176
462.0,6275.152,1.152
461.0,8980.24,2.472
461.0,8903.152,2.464
461.0,6278.656,1.152
464.0,5570.848,2.68
464.0,5574.352,3.264
464.0,5598.88,1.56
464.0,5637.424,3.448
463.0,6275.152,1.152
464.0,2224.528,3.064
464.0,2361.184,3.016
464.0,2441.776,2.176
38.0,3142.576,1.08
371.0,8973.232,2.472
369.0,8955.712,2.464
369.0,6278.656,1.144
371.0,8906.656,2.464
94.0,9015.28,1.144
370.0,8955.712,2.464
370.0,6275.152,1.16
68.0,7694.272,2.36
87.0,7694.272,1.72
65.0,3142.576,1.088
65.0,7697.776,2.168
64.0,5689.984,1.256
218.0,10122.544,1.048
218.0,9772.144,1.048
218.0,9544.384,1.056
218.0,9439.264,1.064
218.0,9358.672,1.088
260.0,7697.776,3.384
260.0,7694.272,2.744
258.0,7694.272,3.32
258.0,7694.272,2.624
108.0,9018.784,1.152
109.0,7694.272,2.552
246.0,10059.472,1.808
257.0,7694.272,2.872
245.0,7694.272,2.304
244.0,7690.768,2.912
213.0,7697.776,2.728
188.0,7694.272,1.784
231.0,7701.28,2.904
218.0,8766.496,1.08
124.0,7978.096,1.24
222.0,8973.232,2.464
222.0,8903.152,2.456
122.0,9390.208,1.184
122.0,8083.216,1.288
122.0,6944.416,1.184
148.0,6271.648,1.152
147.0,6268.144,1.144
115.0,7694.272,2.752
120.0,7694.272,1.944
221.0,6271.648,1.152
222.0,8843.584,2.464
222.0,6268.144,1.152
221.0,8976.736,2.472
221.0,8910.16,2.456
221.0,8854.096,2.464
297.0,6268.144,1.152
296.0,8948.704,2.464
296.0,8864.608,2.464
296.0,6271.648,1.152
295.0,8955.712,2.464
295.0,8871.616,2.464
295.0,6271.648,1.152
280.0,8980.24,2.472
280.0,8899.648,2.456
276.0,7694.272,2.64
275.0,10062.976,1.68
453.0,10931.968,1.064
529.0,8931.184,1.072
529.0,8780.512,1.088
506.0,8899.648,2.464
506.0,6268.144,1.144
505.0,8983.744,2.464
505.0,8906.656,2.448
505.0,8833.072,2.448
505.0,6271.648,1.152
504.0,8980.24,2.456
504.0,8906.656,2.448
464.0,4922.608,3.056
464.0,4873.552,1.432
464.0,3909.952,2.072
464.0,3836.368,1.008
464.0,3391.36,2.24
126.0,7694.272,1.968
126.0,7694.272,1.264
126.0,7690.768,2.632
125.0,7694.272,2.16
123.0,9022.288,1.144
122.0,9547.888,1.256
113.0,7694.272,1.88
110.0,7694.272,2.592
467.0,8952.208,1.096
467.0,8843.584,1.088
467.0,8748.976,1.096
466.0,10539.52,1.056
453.0,11338.432,1.08
67.0,9025.792,1.104
76.0,6944.416,1.376
115.0,7694.272,1.32
464.0,8125.264,1.824
110.0,8412.592,1.12
124.0,8409.088,1.128
104.0,6937.408,1.32
82.0,8395.072,1.088
110.0,7711.792,1.72
54.0,9754.624,1.056
58.0,7343.872,1.264
39.0,7683.76,1.392
276.0,7711.792,1.56
258.0,7711.792,1.32
245.0,9341.152,1.144
174.0,8990.752,1.104
160.0,8997.76,1.128
138.0,8402.08,1.088
138.0,7715.296,1.312
125.0,7687.264,1.36
98.0,9754.624,1.064
82.0,7957.072,1.152
79.0,7708.288,1.912
68.0,9754.624,1.056
68.0,8391.568,1.088
65.0,7683.76,1.304
68.0,7715.296,1.192
68.0,9246.544,1.048
82.0,7459.504,1.232
218.0,10185.616,1.4
291.0,8020.144,1.552
232.0,9029.296,1.088
218.0,9950.848,1.304
67.0,7957.072,1.272
109.0,9029.296,1.08
90.0,7711.792,1.688
372.0,8896.144,2.44
218.0,8906.656,1.424
124.0,8990.752,1.032
132.0,6268.144,1.168
138.0,7957.072,1.288
122.0,9116.896,1.088
110.0,7971.088,1.568
123.0,9702.064,1.32
109.0,7715.296,1.536
245.0,7715.296,1.648
122.0,9050.32,1.168
467.0,9334.144,1.072
467.0,10967.008,1.08
467.0,10844.368,1.064
464.0,5777.584,2.984
453.0,10003.408,1.072
453.0,10395.856,1.056
464.0,3170.608,1.256
467.0,10108.528,1.072
467.0,10175.104,1.08
467.0,11440.048,1.072
464.0,8254.912,1.296
68.0,7452.496,1.224
124.0,9716.08,1.2
368.0,9025.792,1.088
142.0,7694.272,1.488
68.0,8994.256,1.048
68.0,7953.568,1.176
464.0,7357.888,2.504
65.0,6947.92,1.56
467.0,10420.384,1.064
467.0,9901.792,1.064
464.0,6110.464,1.176
453.0,11068.624,1.08
218.0,9838.72,1.288
218.0,9698.56,1.128
467.0,10718.224,1.08
464.0,8542.24,3.12
218.0,11100.16,1.072
218.0,10707.712,1.064
218.0,10774.288,1.072
218.0,10844.368,1.064
