m/z,RT1_center,RT2_center
129.0,8374.048,1.088
291.0,8836.576,2.952
182.0,7561.12,1.272
262.0,8780.512,2.664
36.0,2203.504,1.584
457.0,10003.408,1.752
245.0,7228.24,1.088
172.0,9772.144,1.376
71.0,6050.896,1.024
168.0,7568.128,1.464
245.0,7277.296,1.184
217.0,7137.136,1.096
132.0,6895.36,1.112
145.0,7063.552,1.048
170.0,6776.224,1.072
288.0,7757.344,1.176
146.0,7032.016,1.088
369.0,10245.184,2.424
67.0,7802.896,1.216
138.0,7774.864,1.24
109.0,7802.896,1.192
122.0,7799.392,1.224
109.0,7438.48,1.12
160.0,6947.92,1.144
93.0,7799.392,1.528
76.0,7589.152,1.72
108.0,7799.392,1.216
202.0,7813.408,1.72
65.0,7217.728,1.592
130.0,7056.544,1.44
242.0,6937.408,1.112
167.0,7547.104,1.28
184.0,7340.368,1.224
212.0,7543.6,1.28
211.0,7550.608,1.272
247.0,7606.672,1.2
175.0,7119.616,1.04
139.0,7554.112,1.352
245.0,7438.48,1.136
63.0,7123.12,1.16
153.0,7554.112,1.344
143.0,7186.192,1.112
169.0,7547.104,1.296
141.0,7568.128,1.296
123.0,7242.256,1.096
81.0,7228.24,1.088
93.0,7245.76,1.104
109.0,7298.32,1.096
109.0,7371.904,1.12
121.0,7235.248,1.08
122.0,7235.248,1.08
95.0,7245.76,1.096
107.0,7231.744,1.088
108.0,7235.248,1.088
109.0,7224.736,1.088
63.0,7543.6,1.32
67.0,7228.24,1.088
65.0,7123.12,1.208
168.0,7494.544,1.296
243.0,7627.696,1.664
93.0,7715.296,1.2
95.0,7613.68,1.16
67.0,7718.8,1.2
79.0,7147.648,1.056
67.0,7147.648,1.056
67.0,7613.68,1.16
62.0,7589.152,1.648
55.0,7119.616,1.056
245.0,7802.896,1.472
245.0,8419.6,1.312
108.0,7687.264,1.176
109.0,7613.68,1.152
122.0,7718.8,1.192
123.0,7718.8,1.192
138.0,7536.592,1.096
168.0,7322.848,1.248
95.0,7781.872,1.192
41.0,7119.616,1.056
95.0,7711.792,1.336
145.0,7123.12,1.128
241.0,7477.024,1.208
128.0,7053.04,1.432
185.0,6751.696,1.056
65.0,7245.76,1.168
490.0,10353.808,2.12
487.0,10364.32,2.144
168.0,7119.616,1.088
168.0,6996.976,1.056
242.0,7834.432,1.384
243.0,7869.472,1.376
476.0,10339.792,2.128
473.0,10346.8,2.12
131.0,10350.304,2.128
123.0,7883.488,1.376
93.0,7133.632,1.088
95.0,6916.384,1.152
95.0,7133.632,1.088
95.0,7883.488,1.384
107.0,7133.632,1.088
245.0,8510.704,1.56
335.0,8195.344,1.016
369.0,10385.344,2.136
123.0,7133.632,1.088
245.0,7491.04,1.256
245.0,7620.688,1.288
123.0,7049.536,1.08
122.0,7137.136,1.088
122.0,7883.488,1.376
67.0,7883.488,1.384
246.0,6842.8,1.352
143.0,7126.624,1.064
260.0,10185.616,1.192
108.0,7133.632,1.088
427.0,10357.312,2.136
370.0,10392.352,2.136
372.0,10350.304,2.112
370.0,10301.248,2.128
121.0,7133.632,1.088
246.0,7739.824,1.344
246.0,7620.688,1.296
248.0,8058.688,1.464
247.0,7883.488,1.376
175.0,7242.256,1.144
200.0,7834.432,1.392
202.0,7673.248,1.368
218.0,7133.632,1.088
109.0,7883.488,1.376
109.0,7144.144,1.096
290.0,10108.528,1.864
369.0,10434.4,2.128
369.0,10315.264,2.128
354.0,10360.816,2.128
231.0,7620.688,1.288
300.0,9719.584,1.576
246.0,7897.504,1.528
246.0,7841.44,1.504
129.0,7543.6,1.32
129.0,7477.024,1.328
128.0,7851.952,1.312
128.0,7102.096,1.456
105.0,7151.152,1.048
246.0,7242.256,1.096
246.0,7144.144,1.08
129.0,7648.72,1.304
245.0,7154.656,1.072
213.0,7547.104,1.288
216.0,7788.88,1.216
244.0,7067.056,1.08
160.0,7333.36,1.376
288.0,7252.768,1.36
245.0,7385.92,1.12
245.0,7894.0,1.336
174.0,7371.904,1.288
159.0,7046.032,1.064
160.0,7084.576,1.424
216.0,7655.728,1.16
243.0,7445.488,1.136
243.0,7378.912,1.112
173.0,6912.88,1.04
146.0,6961.936,1.072
145.0,7655.728,1.192
129.0,7238.752,1.48
288.0,7694.272,1.152
243.0,7557.616,1.16
213.0,7809.904,1.232
216.0,7109.104,1.048
243.0,7946.56,1.224
160.0,7161.664,1.432
160.0,7221.232,1.464
259.0,7343.872,1.456
160.0,7039.024,1.48
129.0,7102.096,1.408
128.0,7459.504,1.296
129.0,7021.504,1.064
128.0,7116.112,1.064
143.0,7848.448,1.2
171.0,7851.952,1.368
160.0,7827.424,1.192
128.0,7676.752,1.168
172.0,7463.008,1.176
172.0,7848.448,1.36
171.0,7491.04,1.176
185.0,7809.904,1.208
128.0,7578.64,1.192
129.0,7848.448,1.2
144.0,7144.144,1.072
109.0,7715.296,1.536
245.0,7715.296,1.648
229.0,7025.008,1.488
144.0,7025.008,1.064
122.0,7641.712,1.184
160.0,7701.28,1.256
