m/z,RT1_center,RT2_center
162.0,5504.272,1.112
128.0,5493.76,1.16
130.0,5490.256,1.16
63.0,5493.76,1.16
116.0,5497.264,1.16
65.0,5493.76,1.16
129.0,5472.736,1.168
137.0,2690.56,0.88
137.0,2543.392,0.872
57.0,9859.744,1.088
137.0,3005.92,0.84
83.0,9838.72,1.048
115.0,5497.264,1.28
291.0,8836.576,2.952
119.0,5490.256,1.152
160.0,5490.256,1.152
147.0,5493.76,1.16
148.0,5490.256,1.152
38.0,5490.256,1.16
105.0,5490.256,1.152
91.0,5490.256,1.152
117.0,5472.736,1.152
161.0,5739.04,1.216
436.0,10020.928,1.256
162.0,4999.696,1.168
262.0,8780.512,2.664
56.0,9838.72,1.064
138.0,2539.888,0.872
138.0,2690.56,0.88
138.0,3005.92,0.848
64.0,5490.256,1.152
159.0,4982.176,1.136
144.0,4982.176,1.136
145.0,5511.28,1.152
36.0,2203.504,1.584
457.0,10003.408,1.752
111.0,4288.384,1.056
116.0,4999.696,1.176
83.0,4439.056,1.128
144.0,4905.088,1.112
62.0,5497.264,1.16
42.0,9074.848,1.096
39.0,5493.76,1.16
127.0,5490.256,1.152
92.0,5490.256,1.152
52.0,5490.256,1.152
41.0,5490.256,1.152
102.0,5490.256,1.152
137.0,2760.64,0.848
107.0,5490.256,1.152
138.0,2760.64,0.84
53.0,5490.256,1.152
79.0,5490.256,1.152
174.0,5003.2,1.112
159.0,4912.096,1.104
230.0,9053.824,1.136
56.0,9071.344,1.104
120.0,5497.264,1.152
118.0,5507.776,1.144
106.0,5465.728,1.152
42.0,9484.816,1.272
261.0,9043.312,1.16
160.0,5003.2,1.144
261.0,8787.52,2.664
472.0,10105.024,1.568
56.0,9488.32,1.136
276.0,10543.024,1.712
248.0,9057.328,1.272
83.0,9484.816,1.264
56.0,10091.008,1.52
368.0,9484.816,1.272
132.0,5490.256,1.152
396.0,10091.008,1.512
174.0,4915.6,1.104
362.0,9887.776,1.976
369.0,9936.832,1.344
370.0,9936.832,1.304
230.0,9968.368,1.328
443.0,9964.864,1.208
114.0,9043.312,1.672
36.0,2200.0,2.656
160.0,4908.592,1.304
114.0,10006.912,1.848
361.0,10003.408,1.056
362.0,10010.416,1.056
364.0,9046.816,1.6
360.0,10003.408,1.152
369.0,9039.808,1.88
371.0,9043.312,1.824
371.0,9922.816,1.072
372.0,9926.32,1.064
420.0,10003.408,1.056
427.0,9043.312,1.208
261.0,10003.408,1.072
428.0,9039.808,1.256
428.0,10003.408,1.12
243.0,9810.688,1.264
40.0,9046.816,1.984
244.0,9043.312,1.2
244.0,10010.416,1.12
248.0,10010.416,1.104
279.0,10006.912,1.16
364.0,9996.4,1.4
44.0,10010.416,1.368
109.0,8692.912,3.032
108.0,5490.256,1.288
108.0,8773.504,2.664
83.0,10206.64,1.168
93.0,5490.256,1.288
78.0,5490.256,1.28
100.0,8762.992,0.6
319.0,10013.92,1.576
319.0,10147.072,1.584
114.0,9043.312,2.536
130.0,5003.2,1.208
137.0,2837.728,0.888
138.0,2837.728,0.888
144.0,5490.256,1.288
296.0,9043.312,1.984
146.0,5490.256,1.288
161.0,5490.256,1.288
216.0,9043.312,1.2
215.0,8784.016,2.656
221.0,8903.152,0.952
221.0,9043.312,1.976
222.0,8903.152,0.952
216.0,10006.912,1.192
222.0,9043.312,2.0
230.0,10013.92,1.248
55.0,9488.32,1.24
56.0,10010.416,1.64
56.0,10206.64,1.16
58.0,5493.76,1.28
65.0,4999.696,1.2
68.0,6646.576,1.088
295.0,9043.312,1.984
310.0,10010.416,1.264
310.0,9043.312,1.096
296.0,9922.816,1.064
295.0,8903.152,0.952
295.0,9922.816,1.064
427.0,10003.408,1.152
474.0,10010.416,1.144
436.0,9053.824,1.272
443.0,9043.312,1.344
490.0,9043.312,2.136
488.0,10003.408,1.176
475.0,9043.312,1.912
360.0,9039.808,1.296
488.0,9043.312,1.304
487.0,9046.816,1.912
243.0,10020.928,1.24
443.0,10017.424,1.192
444.0,9046.816,1.072
444.0,10003.408,1.08
446.0,10006.912,1.056
447.0,10010.416,1.048
457.0,9039.808,1.216
458.0,9043.312,1.04
458.0,10006.912,1.08
460.0,9043.312,2.024
462.0,9043.312,1.856
472.0,9477.808,1.576
472.0,10227.664,1.552
473.0,9043.312,2.12
474.0,9039.808,1.448
319.0,10514.992,1.568
214.0,5500.768,1.168
279.0,9043.312,1.224
292.0,8826.064,2.72
370.0,9029.296,1.496
369.0,8906.656,1.176
