m/z,RT1_center,RT2_center
291.0,8836.576,2.952
464.0,6580.0,1.112
152.0,5188.912,1.896
464.0,8577.28,1.464
464.0,8510.704,1.656
36.0,2203.504,1.584
464.0,8100.736,1.344
464.0,8079.712,2.896
370.0,8962.72,1.488
464.0,8633.344,1.688
464.0,6247.12,1.168
153.0,5273.008,1.88
139.0,5269.504,1.696
128.0,5294.032,1.672
261.0,9043.312,1.16
464.0,6818.272,2.192
464.0,7441.984,2.904
113.0,5178.4,1.784
62.0,5178.4,1.888
63.0,5332.576,1.672
152.0,5304.544,1.832
68.0,7396.432,1.04
113.0,5171.392,3.184
123.0,5304.544,3.072
123.0,5308.048,2.192
152.0,5304.544,3.072
228.0,5174.896,3.248
228.0,5174.896,2.0
151.0,5304.544,2.192
150.0,5311.552,2.192
150.0,5308.048,3.072
144.0,5308.048,2.408
144.0,5308.048,3.056
139.0,5308.048,3.072
128.0,5304.544,2.96
124.0,5301.04,2.304
530.0,4884.064,2.76
529.0,5080.288,2.984
529.0,5083.792,1.48
529.0,4887.568,2.192
529.0,4887.568,3.072
472.0,5171.392,1.64
470.0,9989.392,1.592
470.0,9831.712,1.6
467.0,5083.792,2.76
467.0,5083.792,1.496
467.0,4880.56,3.072
467.0,4880.56,2.192
467.0,4877.056,1.312
466.0,4887.568,3.072
466.0,4891.072,2.192
466.0,4887.568,1.312
464.0,8398.576,1.616
464.0,4719.376,1.944
455.0,10602.592,1.592
455.0,10385.344,1.584
95.0,5304.544,3.072
32.0,2701.072,1.576
95.0,5308.048,2.192
32.0,2764.144,1.112
65.0,5174.896,2.28
65.0,5174.896,1.608
65.0,5174.896,3.104
63.0,5304.544,2.848
62.0,5311.552,2.808
108.0,5308.048,3.072
108.0,5308.048,2.192
32.0,2497.84,2.512
32.0,2494.336,3.432
32.0,2543.392,1.928
151.0,5311.552,3.072
152.0,5174.896,3.136
32.0,2609.968,2.2
62.0,5167.888,3.184
57.0,7403.44,1.048
38.0,8710.432,2.568
32.0,5227.456,3.072
32.0,5227.456,2.192
32.0,5227.456,1.312
168.0,5304.544,3.12
153.0,5308.048,3.072
184.0,5308.048,2.192
183.0,5308.048,2.192
101.0,5174.896,1.648
530.0,4887.568,1.68
530.0,4891.072,1.08
614.0,3279.232,2.136
647.0,10031.44,2.816
184.0,5311.552,3.072
185.0,5311.552,2.192
185.0,5311.552,3.072
472.0,5171.392,2.68
32.0,2578.432,1.352
435.0,4887.568,1.208
435.0,4891.072,3.368
32.0,2588.944,3.448
435.0,4884.064,2.424
451.0,4884.064,3.072
451.0,5083.792,1.44
452.0,4866.544,1.312
452.0,4880.56,2.192
452.0,4880.56,3.072
452.0,4912.096,1.312
451.0,4880.56,2.192
451.0,4884.064,1.312
218.0,4884.064,2.192
218.0,4884.064,3.072
202.0,5311.552,3.072
218.0,4884.064,1.312
202.0,5311.552,2.192
201.0,5311.552,3.072
200.0,5308.048,2.192
201.0,5311.552,2.192
199.0,5308.048,3.072
453.0,4880.56,3.072
200.0,5304.544,3.072
199.0,5311.552,2.192
453.0,4880.56,2.192
278.0,5311.552,2.192
277.0,5304.544,3.072
277.0,5308.048,2.192
231.0,7396.432,2.6
231.0,5430.688,2.416
262.0,5329.072,3.064
262.0,5304.544,2.192
262.0,5287.024,3.072
261.0,5297.536,2.832
242.0,5174.896,1.576
240.0,5174.896,1.352
228.0,5308.048,2.192
468.0,4873.552,1.92
231.0,2378.704,2.112
228.0,5308.048,3.072
467.0,5083.792,3.36
375.0,4887.568,3.072
375.0,4884.064,1.312
375.0,4887.568,2.192
452.0,5083.792,3.24
452.0,5083.792,1.664
374.0,4884.064,3.072
374.0,4887.568,2.192
374.0,4884.064,1.312
373.0,4887.568,3.072
373.0,4887.568,2.192
373.0,4887.568,1.312
314.0,5181.904,1.872
314.0,5171.392,3.008
301.0,5171.392,3.176
300.0,5171.392,1.72
279.0,5311.552,2.208
455.0,10027.936,1.608
453.0,4884.064,1.312
452.0,5087.296,2.264
168.0,5308.048,2.288
170.0,5304.544,2.192
170.0,5304.544,3.072
171.0,5311.552,2.192
171.0,5311.552,3.072
172.0,5308.048,2.608
172.0,5304.544,3.296
173.0,5315.056,2.192
173.0,5311.552,3.072
181.0,5178.4,3.24
183.0,5304.544,3.072
278.0,5311.552,3.072
279.0,5304.544,3.064
529.0,4887.568,1.312
376.0,4880.56,2.016
376.0,4880.56,3.472
67.0,7396.432,1.04
153.0,5343.088,1.848
139.0,5343.088,1.848
455.0,10262.704,1.744
464.0,8622.832,2.856
36.0,2200.0,2.656
95.0,7431.472,1.048
464.0,8125.264,1.824
464.0,4596.736,1.4
464.0,8367.04,2.952
370.0,9029.296,1.496
464.0,5325.568,3.016
