m/z,RT1_center,RT2_center
162.0,5504.272,1.112
128.0,5493.76,1.16
130.0,5490.256,1.16
63.0,5493.76,1.16
116.0,5497.264,1.16
65.0,5493.76,1.16
129.0,5472.736,1.168
129.0,8374.048,1.088
57.0,9859.744,1.088
83.0,9838.72,1.048
115.0,5497.264,1.28
160.0,5763.568,1.056
119.0,5490.256,1.152
160.0,5490.256,1.152
147.0,5493.76,1.16
148.0,5490.256,1.152
38.0,5490.256,1.16
105.0,5490.256,1.152
91.0,5490.256,1.152
117.0,5472.736,1.152
71.0,9845.728,1.216
162.0,4999.696,1.168
70.0,8367.04,1.104
55.0,9859.744,1.072
168.0,9856.24,1.064
124.0,9856.24,1.056
39.0,9859.744,1.064
365.0,9383.2,1.168
148.0,4694.848,1.408
150.0,6068.416,2.048
149.0,6057.904,2.064
159.0,4982.176,1.136
144.0,4982.176,1.136
145.0,5511.28,1.152
145.0,5718.016,1.056
111.0,4288.384,1.056
116.0,4999.696,1.176
83.0,4439.056,1.128
144.0,4905.088,1.112
99.0,9842.224,1.2
85.0,9842.224,1.208
43.0,9842.224,1.216
139.0,9838.72,1.048
171.0,5725.024,1.2
42.0,9856.24,1.072
56.0,8349.52,1.104
174.0,5003.2,1.112
159.0,4912.096,1.104
160.0,5003.2,1.144
150.0,7466.512,1.352
369.0,10245.184,2.424
71.0,10658.656,1.224
150.0,8247.904,2.456
150.0,8072.704,1.28
85.0,10658.656,1.224
99.0,10665.664,1.344
119.0,4978.672,1.12
167.0,4414.528,0.952
128.0,4985.68,1.152
371.0,9435.76,1.288
184.0,6467.872,1.376
171.0,11019.568,1.112
199.0,6443.344,1.168
228.0,6453.856,1.112
150.0,4824.496,2.688
112.0,4463.584,1.032
150.0,8598.304,2.632
128.0,4908.592,1.104
115.0,4999.696,1.152
112.0,4985.68,3.4
379.0,11142.208,1.512
150.0,4670.32,1.128
112.0,4179.76,1.024
112.0,4390.0,1.024
112.0,4015.072,2.152
111.0,4162.24,1.032
55.0,4432.048,1.12
32.0,3710.224,1.32
150.0,6730.672,1.056
150.0,8535.232,1.904
150.0,8324.992,2.064
150.0,7746.832,2.896
150.0,7010.992,3.408
379.0,10896.928,1.52
379.0,10819.84,1.528
371.0,9481.312,1.384
370.0,9467.296,1.384
150.0,6397.792,2.368
147.0,4999.696,1.16
150.0,2659.024,1.952
112.0,3261.712,2.136
112.0,4281.376,1.04
150.0,2778.16,2.768
129.0,4992.688,1.152
111.0,8367.04,1.096
150.0,7498.048,2.608
117.0,5024.224,1.088
119.0,4214.8,1.096
150.0,5486.752,1.576
201.0,6212.08,1.048
201.0,6082.432,1.056
174.0,4915.6,1.104
202.0,7557.616,2.216
150.0,7333.36,1.368
160.0,4908.592,1.304
150.0,8254.912,1.248
159.0,5076.784,1.096
185.0,6467.872,1.08
185.0,6530.944,1.064
150.0,8510.704,2.88
150.0,4102.672,1.872
202.0,7613.68,2.304
202.0,7725.808,2.416
213.0,6453.856,1.08
185.0,6331.216,1.056
185.0,6247.12,1.088
101.0,8346.016,1.472
202.0,7683.76,2.48
129.0,4929.616,1.144
369.0,10185.616,2.184
278.0,8762.992,2.04
200.0,7589.152,2.352
145.0,4992.688,1.12
112.0,8367.04,1.096
150.0,2967.376,2.32
277.0,8780.512,2.312
