m/z,RT1_center,RT2_center
57.0,9859.744,1.088
142.0,4778.944,1.576
291.0,8836.576,2.952
141.0,5378.128,1.448
160.0,7456.0,1.28
64.0,7480.528,1.28
71.0,9845.728,1.216
173.0,5767.072,1.312
55.0,9859.744,1.072
168.0,9856.24,1.064
56.0,9838.72,1.064
130.0,5742.544,1.32
128.0,5742.544,1.32
159.0,4982.176,1.136
144.0,4982.176,1.136
457.0,10003.408,1.752
99.0,9842.224,1.2
85.0,9842.224,1.208
43.0,9842.224,1.216
42.0,9856.24,1.072
42.0,9074.848,1.096
63.0,5742.544,1.32
129.0,5739.04,1.32
128.0,5294.032,1.672
42.0,9484.816,1.272
170.0,5893.216,1.4
141.0,5451.712,1.472
170.0,5819.632,1.36
160.0,5003.2,1.144
150.0,7466.512,1.352
58.0,6867.328,1.04
70.0,9838.72,1.064
369.0,10245.184,2.424
144.0,6474.88,1.376
67.0,7802.896,1.216
138.0,7774.864,1.24
109.0,7802.896,1.192
122.0,7799.392,1.224
109.0,7438.48,1.12
160.0,6947.92,1.144
93.0,7799.392,1.528
76.0,7589.152,1.72
108.0,7799.392,1.216
202.0,7813.408,1.72
242.0,6937.408,1.112
132.0,5490.256,1.152
119.0,4978.672,1.12
167.0,4414.528,0.952
128.0,4985.68,1.152
371.0,9435.76,1.288
182.0,7491.04,1.264
184.0,6467.872,1.376
153.0,6348.736,1.232
372.0,9271.072,1.44
382.0,9134.416,1.208
41.0,9859.744,1.072
427.0,9239.536,1.368
58.0,6397.792,1.056
372.0,9211.504,1.4
65.0,7123.12,1.208
168.0,7494.544,1.296
243.0,7627.696,1.664
93.0,7715.296,1.2
95.0,7613.68,1.16
67.0,7718.8,1.2
79.0,7147.648,1.056
67.0,7147.648,1.056
67.0,7613.68,1.16
62.0,7589.152,1.648
55.0,7119.616,1.056
245.0,7802.896,1.472
245.0,8419.6,1.312
108.0,7687.264,1.176
109.0,7613.68,1.152
122.0,7718.8,1.192
123.0,7718.8,1.192
138.0,7536.592,1.096
168.0,7322.848,1.248
95.0,7781.872,1.192
41.0,7119.616,1.056
95.0,7711.792,1.336
152.0,5304.544,1.832
68.0,7396.432,1.04
145.0,7123.12,1.128
241.0,7477.024,1.208
128.0,7053.04,1.432
64.0,7326.352,1.44
184.0,6636.064,2.168
185.0,6751.696,1.056
224.0,7203.712,1.472
240.0,7291.312,1.168
280.0,7894.0,1.168
168.0,6362.752,1.224
246.0,7897.504,1.528
246.0,7841.44,1.504
67.0,7396.432,1.04
145.0,6092.944,1.056
153.0,5343.088,1.848
139.0,5343.088,1.848
288.0,7252.768,1.36
245.0,7385.92,1.12
245.0,7894.0,1.336
174.0,7371.904,1.288
159.0,7046.032,1.064
160.0,7084.576,1.424
174.0,5059.264,1.12
105.0,5059.264,1.08
152.0,5367.616,1.448
156.0,5364.112,1.464
220.0,8163.808,1.68
220.0,7466.512,1.4
220.0,7536.592,1.472
155.0,6362.752,1.208
230.0,9968.368,1.328
443.0,9964.864,1.208
114.0,9043.312,1.672
95.0,7431.472,1.048
129.0,6471.376,1.16
182.0,6534.448,1.36
145.0,5819.632,1.032
188.0,5753.056,1.32
124.0,6867.328,1.016
44.0,10087.504,1.512
44.0,9484.816,1.264
174.0,9635.488,1.368
59.0,6867.328,1.024
262.0,9467.296,1.24
340.0,8748.976,0.984
70.0,6867.328,1.024
83.0,6867.328,1.016
56.0,6863.824,1.344
55.0,6867.328,1.016
68.0,6867.328,1.016
41.0,6867.328,1.016
99.0,8265.424,1.368
95.0,9768.64,1.496
109.0,6867.328,1.016
43.0,6867.328,1.024
174.0,5767.072,1.4
66.0,7466.512,1.432
129.0,7102.096,1.408
128.0,7459.504,1.296
227.0,6772.72,1.072
108.0,9183.472,1.056
243.0,9222.016,1.072
109.0,9204.496,1.072
113.0,9859.744,1.112
124.0,9200.992,1.08
129.0,6015.856,1.648
169.0,6769.216,1.096
159.0,5076.784,1.096
152.0,6348.736,1.264
152.0,6464.368,1.384
185.0,6467.872,1.08
382.0,9071.344,1.192
216.0,9281.584,1.176
216.0,9530.368,1.28
412.0,10101.52,1.616
351.0,9414.736,1.248
41.0,9768.64,1.288
41.0,8696.416,1.064
38.0,10098.016,1.68
70.0,9768.64,1.288
67.0,6867.328,1.016
57.0,6867.328,1.016
98.0,9484.816,1.304
98.0,10091.008,1.536
99.0,7053.04,1.448
123.0,6867.328,1.016
321.0,8503.696,1.376
124.0,8156.8,1.224
95.0,6867.328,1.016
98.0,9074.848,1.128
232.0,8941.696,1.32
261.0,9260.56,1.256
85.0,6867.328,1.016
71.0,6867.328,1.016
113.0,6867.328,1.016
171.0,9200.992,1.576
56.0,9768.64,1.28
42.0,10087.504,1.512
120.0,7673.248,1.368
