m/z,RT1_center,RT2_center
162.0,5504.272,1.112
128.0,5493.76,1.16
130.0,5490.256,1.16
63.0,5493.76,1.16
116.0,5497.264,1.16
65.0,5493.76,1.16
129.0,5472.736,1.168
137.0,2690.56,0.88
137.0,2543.392,0.872
137.0,3005.92,0.84
115.0,5497.264,1.28
119.0,5490.256,1.152
160.0,5490.256,1.152
147.0,5493.76,1.16
148.0,5490.256,1.152
38.0,5490.256,1.16
105.0,5490.256,1.152
91.0,5490.256,1.152
117.0,5472.736,1.152
142.0,4831.504,1.44
141.0,4831.504,1.432
138.0,2539.888,0.872
138.0,2690.56,0.88
138.0,3005.92,0.848
64.0,5490.256,1.152
145.0,5511.28,1.152
464.0,2487.328,2.992
464.0,5115.328,1.376
374.0,11394.496,1.048
464.0,2280.592,1.648
464.0,2841.232,1.632
464.0,4537.168,1.576
467.0,11387.488,1.064
464.0,7172.176,2.408
62.0,5497.264,1.16
39.0,5493.76,1.16
127.0,5490.256,1.152
92.0,5490.256,1.152
52.0,5490.256,1.152
41.0,5490.256,1.152
102.0,5490.256,1.152
137.0,2760.64,0.848
107.0,5490.256,1.152
138.0,2760.64,0.84
53.0,5490.256,1.152
79.0,5490.256,1.152
467.0,10238.176,1.064
467.0,9786.16,1.064
120.0,5497.264,1.152
118.0,5507.776,1.144
106.0,5465.728,1.152
212.0,6506.416,1.184
95.0,2546.896,0.872
95.0,2690.56,0.88
212.0,6369.76,1.144
467.0,9719.584,1.056
467.0,9842.224,1.056
464.0,2242.048,1.72
467.0,11289.376,1.08
467.0,11089.648,1.072
467.0,10914.448,1.064
467.0,10788.304,1.072
467.0,10651.648,1.072
467.0,10567.552,1.064
467.0,10511.488,1.064
467.0,10287.232,1.072
132.0,5490.256,1.152
184.0,6467.872,1.376
153.0,6348.736,1.232
184.0,6548.464,1.392
464.0,8622.832,2.856
220.0,8163.808,1.68
220.0,7466.512,1.4
220.0,7536.592,1.472
168.0,6488.896,1.216
220.0,4572.208,1.04
220.0,5013.712,2.48
220.0,4845.52,1.368
112.0,5048.752,1.672
112.0,6001.84,1.736
220.0,4933.12,2.76
220.0,4645.792,2.784
220.0,7112.608,2.472
220.0,6884.848,2.672
112.0,2354.176,2.52
220.0,2445.28,2.288
220.0,2389.216,1.84
220.0,2326.144,2.232
220.0,2333.152,3.152
220.0,2249.056,3.432
220.0,6394.288,3.376
220.0,5497.264,1.008
220.0,7547.104,3.344
220.0,7256.272,2.232
112.0,4680.832,1.032
112.0,4579.216,1.976
220.0,8125.264,3.384
220.0,8272.432,1.408
220.0,3097.024,3.08
112.0,2420.752,1.032
112.0,2655.52,3.272
112.0,2792.176,1.816
112.0,3657.664,1.672
112.0,3727.744,1.128
112.0,3517.504,2.472
112.0,3542.032,1.136
112.0,3885.424,3.08
112.0,3780.304,2.976
112.0,4162.24,2.616
112.0,4449.568,3.128
112.0,4978.672,1.352
112.0,5465.728,2.672
220.0,5188.912,2.728
112.0,5227.456,3.24
218.0,11243.824,1.064
220.0,2249.056,1.384
150.0,2284.096,1.136
128.0,4810.48,1.008
150.0,2221.024,2.912
150.0,2259.568,2.016
172.0,4824.496,1.048
464.0,5332.576,2.192
464.0,2697.568,1.024
220.0,2620.48,1.2
220.0,2855.248,3.16
453.0,11285.872,1.064
220.0,8346.016,2.008
589.0,7417.456,2.632
464.0,2788.672,2.856
220.0,5160.88,1.672
220.0,5294.032,2.384
464.0,5220.448,3.272
561.0,9057.328,0.608
467.0,9565.408,1.08
637.0,3605.104,1.632
467.0,9390.208,1.056
464.0,5388.64,2.92
464.0,3412.384,1.016
220.0,5017.216,1.176
453.0,10157.584,1.064
77.0,5493.76,1.024
72.0,3521.008,1.128
70.0,3521.008,1.136
68.0,3349.312,1.104
95.0,2760.64,0.8
95.0,3005.92,0.808
220.0,3167.104,2.344
