m/z,RT1_center,RT2_center
162.0,5504.272,1.112
128.0,5493.76,1.16
130.0,5490.256,1.16
63.0,5493.76,1.16
116.0,5497.264,1.16
65.0,5493.76,1.16
129.0,5472.736,1.168
129.0,8374.048,1.088
160.0,5763.568,1.056
116.0,4677.328,1.16
63.0,4673.824,1.16
65.0,4673.824,1.16
291.0,8836.576,2.952
294.0,8752.48,2.664
161.0,5739.04,1.216
436.0,10020.928,1.256
469.0,9481.312,1.264
233.0,6303.184,1.184
173.0,5767.072,1.312
70.0,8367.04,1.104
130.0,5742.544,1.32
128.0,5742.544,1.32
36.0,2203.504,1.584
116.0,5732.032,1.072
141.0,5760.064,1.088
172.0,9817.696,1.664
142.0,5760.064,1.096
143.0,5760.064,1.096
145.0,5718.016,1.056
144.0,5760.064,1.12
440.0,9092.368,3.192
412.0,10301.248,3.152
456.0,10280.224,1.576
456.0,10087.504,1.576
456.0,9975.376,1.584
454.0,9719.584,1.28
130.0,5322.064,1.136
145.0,4116.688,1.192
174.0,5535.808,1.136
201.0,5742.544,1.04
55.0,5024.224,1.224
70.0,5024.224,1.224
83.0,5027.728,1.224
123.0,3447.424,1.056
260.0,10098.016,1.192
217.0,5742.544,1.04
456.0,10500.976,1.576
456.0,10346.8,1.584
171.0,5725.024,1.2
172.0,5760.064,1.12
161.0,5339.584,1.352
159.0,5749.552,1.024
216.0,5767.072,1.032
63.0,5742.544,1.32
129.0,5739.04,1.32
65.0,3076.0,1.176
62.0,5721.52,1.096
202.0,5763.568,1.048
172.0,10458.928,1.272
454.0,10206.64,1.248
173.0,5542.816,1.08
188.0,5518.288,1.08
170.0,5718.016,1.272
