m/z,RT1_center,RT2_center
168.0,5651.44,1.448
63.0,4085.152,1.824
101.0,4085.152,1.832
102.0,4106.176,1.832
127.0,4088.656,1.832
129.0,4099.168,1.688
142.0,4778.944,1.576
128.0,4099.168,1.816
62.0,4095.664,1.824
141.0,5378.128,1.448
76.0,4085.152,1.816
126.0,4085.152,1.832
115.0,4845.52,1.592
115.0,4761.424,1.584
141.0,4778.944,1.584
464.0,6580.0,1.112
168.0,5696.992,1.456
153.0,5633.92,1.52
143.0,4842.016,1.584
116.0,4754.416,1.48
142.0,4831.504,1.44
141.0,4831.504,1.432
142.0,4884.064,1.568
77.0,4081.648,1.816
52.0,4081.648,1.824
74.0,4081.648,1.816
37.0,4085.152,1.832
116.0,4842.016,1.584
38.0,4085.152,1.824
62.0,4761.424,1.584
64.0,4078.144,1.832
143.0,4761.424,1.568
171.0,5725.024,1.2
139.0,5269.504,1.696
152.0,5651.44,1.448
141.0,5644.432,1.328
154.0,5192.416,1.568
62.0,5497.264,1.16
63.0,5742.544,1.32
129.0,5739.04,1.32
184.0,6092.944,1.288
170.0,5770.576,1.336
51.0,4081.648,1.816
87.0,4078.144,1.816
75.0,4081.648,1.808
467.0,10238.176,1.064
467.0,9786.16,1.064
128.0,5294.032,1.672
212.0,6506.416,1.184
170.0,5893.216,1.4
141.0,5451.712,1.472
170.0,5819.632,1.36
184.0,6152.512,1.304
170.0,5945.776,1.416
182.0,6047.392,1.4
230.0,7025.008,1.56
213.0,6509.92,1.168
146.0,2988.4,1.656
62.0,5721.52,1.096
50.0,4085.152,1.84
62.0,4842.016,1.584
61.0,4081.648,1.816
130.0,4081.648,1.808
76.0,5630.416,1.52
78.0,4081.648,1.808
212.0,6369.76,1.144
184.0,6212.08,1.304
464.0,6551.968,2.0
143.0,6485.392,1.168
184.0,6467.872,1.376
36.0,4081.648,1.816
153.0,6348.736,1.232
132.0,3503.488,1.08
63.0,4842.016,1.488
120.0,2823.712,1.152
63.0,4757.92,1.48
171.0,6015.856,1.264
62.0,6692.128,1.336
467.0,9498.832,1.08
150.0,6944.416,1.184
149.0,6944.416,1.2
353.0,8829.568,2.496
453.0,10472.944,1.056
370.0,8868.112,2.488
371.0,8836.576,2.504
453.0,9877.264,1.064
464.0,5893.216,1.552
464.0,6015.856,1.12
453.0,11226.304,1.08
464.0,5658.448,1.752
369.0,8864.608,2.496
506.0,8808.544,2.496
464.0,6653.584,1.424
464.0,6184.048,1.232
453.0,11135.2,1.072
182.0,6110.464,1.376
184.0,6548.464,1.392
168.0,6362.752,1.224
174.0,5434.192,1.36
132.0,6436.336,1.064
153.0,5367.616,1.36
139.0,5364.112,1.36
160.0,5230.96,1.096
184.0,6261.136,1.336
167.0,6061.408,1.472
170.0,6022.864,1.432
153.0,5732.032,1.32
141.0,5507.776,1.4
152.0,5367.616,1.448
156.0,5364.112,1.464
155.0,6362.752,1.208
129.0,6471.376,1.16
168.0,6488.896,1.216
184.0,5861.68,1.2
150.0,6478.384,1.312
129.0,6604.528,1.072
185.0,6156.016,1.104
153.0,6050.896,1.432
167.0,6523.936,1.376
467.0,10034.944,1.064
467.0,11026.576,1.08
467.0,11341.936,1.072
467.0,11145.712,1.072
467.0,9954.352,1.08
152.0,6513.424,1.368
152.0,6348.736,1.264
152.0,6464.368,1.384
214.0,6825.28,1.336
119.0,6818.272,1.072
214.0,6530.944,2.52
167.0,6285.664,1.272
155.0,6078.928,1.304
214.0,6026.368,1.424
214.0,7042.528,2.336
170.0,5654.944,1.312
181.0,6054.4,1.376
182.0,5980.816,1.36
182.0,5805.616,1.36
167.0,5959.792,1.36
167.0,5823.136,1.352
182.0,5679.472,1.272
214.0,6713.152,2.272
411.0,8969.728,1.248
152.0,6142.0,1.488
150.0,6334.72,1.224
152.0,6092.944,1.424
197.0,6348.736,1.032
155.0,6502.912,1.056
197.0,6502.912,1.064
374.0,11145.712,1.08
374.0,11058.112,1.056
374.0,10998.544,1.056
374.0,11440.048,1.048
453.0,10076.992,1.072
464.0,5949.28,1.352
374.0,11229.808,1.064
464.0,6366.256,1.352
374.0,10311.76,1.064
198.0,6502.912,1.064
374.0,10760.272,1.064
370.0,11047.6,3.304
167.0,6474.88,1.36
104.0,6580.0,1.376
76.0,6944.416,1.376
214.0,6989.968,1.32
167.0,5647.936,1.664
181.0,6131.488,1.384
127.0,6492.4,1.176
195.0,6355.744,1.264
115.0,6502.912,1.184
117.0,6331.216,1.064
101.0,6478.384,1.192
214.0,6096.448,1.416
200.0,6492.4,1.168
210.0,6355.744,1.256
213.0,6324.208,1.072
77.0,6495.904,1.176
214.0,6989.968,2.224
464.0,6786.736,1.56
222.0,6485.392,1.176
238.0,7056.544,1.192
214.0,7886.992,3.216
221.0,6485.392,1.184
117.0,6446.848,1.048
183.0,6029.872,1.384
190.0,6485.392,1.176
182.0,5721.52,1.28
181.0,6415.312,1.416
174.0,6369.76,1.064
172.0,5893.216,1.152
167.0,6177.04,1.432
167.0,5696.992,1.424
146.0,3044.464,1.576
152.0,6047.392,1.472
181.0,6187.552,1.544
166.0,6075.424,1.448
182.0,6170.032,1.624
165.0,6050.896,1.456
214.0,7063.552,1.184
214.0,7939.552,1.736
214.0,6436.336,1.304
214.0,7329.856,1.296
181.0,6362.752,1.256
214.0,8475.664,1.384
184.0,6040.384,1.288
166.0,6516.928,1.28
171.0,5637.424,1.232
181.0,6292.672,1.2
155.0,5714.512,1.272
116.0,5360.608,1.264
62.0,6054.4,1.28
62.0,5647.936,1.392
155.0,6131.488,1.216
214.0,4754.416,1.464
196.0,6306.688,1.216
183.0,6516.928,1.176
214.0,5167.888,1.328
166.0,6012.352,1.464
165.0,5630.416,1.368
166.0,5626.912,1.368
166.0,5802.112,1.272
171.0,5938.768,1.296
172.0,5819.632,1.176
214.0,5360.608,1.248
286.0,6467.872,1.184
214.0,7399.936,1.656
214.0,7382.416,2.8
288.0,6471.376,1.168
157.0,5357.104,1.36
166.0,6271.648,1.168
213.0,6453.856,1.08
185.0,6331.216,1.056
185.0,6247.12,1.088
184.0,6338.224,1.304
182.0,6481.888,1.288
167.0,6587.008,1.344
176.0,6464.368,1.2
178.0,6464.368,1.2
141.0,6467.872,1.184
142.0,6467.872,1.176
202.0,6485.392,1.368
118.0,6688.624,1.048
102.0,6464.368,1.192
115.0,6443.344,1.072
89.0,6464.368,1.208
179.0,6464.368,1.168
128.0,6495.904,1.344
153.0,6534.448,1.104
166.0,6366.256,1.312
139.0,5784.592,1.592
181.0,6537.952,1.448
214.0,6692.128,1.408
183.0,6362.752,1.288
89.0,6359.248,1.24
214.0,6250.624,1.272
182.0,6366.256,1.296
141.0,6369.76,1.224
180.0,6359.248,1.28
115.0,5714.512,1.12
464.0,6867.328,1.568
243.0,6965.44,1.032
214.0,6320.704,1.584
214.0,6380.272,1.632
115.0,6376.768,1.208
202.0,6944.416,1.688
62.0,5441.2,1.456
77.0,5360.608,1.44
62.0,5371.12,1.44
166.0,6163.024,1.264
89.0,5357.104,1.44
101.0,5875.696,1.168
101.0,5802.112,1.176
90.0,6502.912,1.056
92.0,6257.632,1.136
101.0,5707.504,1.136
101.0,5353.6,1.224
50.0,5283.52,1.24
50.0,5357.104,1.208
76.0,5714.512,1.152
65.0,6348.736,1.064
76.0,6530.944,1.08
77.0,6594.016,1.168
78.0,6594.016,1.192
76.0,5448.208,1.216
52.0,6594.016,1.184
61.0,5357.104,1.208
50.0,6485.392,1.048
50.0,6594.016,1.176
62.0,6509.92,1.008
64.0,6502.912,1.048
536.0,8805.04,2.52
142.0,5444.704,1.224
153.0,6394.288,1.04
154.0,5357.104,1.208
154.0,6502.912,1.064
155.0,5287.024,1.192
156.0,5798.608,1.16
156.0,6502.912,1.056
157.0,5287.024,1.2
165.0,6289.168,1.072
142.0,6064.912,1.112
142.0,6513.424,1.016
150.0,5357.104,1.2
150.0,5798.608,1.16
150.0,5875.696,1.176
151.0,6502.912,1.072
152.0,5714.512,1.144
64.0,6345.232,1.032
169.0,5651.44,1.24
169.0,5707.504,1.136
169.0,6839.296,1.056
170.0,6215.584,0.768
170.0,6492.4,1.048
176.0,6502.912,1.064
178.0,6285.664,1.064
101.0,6373.264,1.048
129.0,5938.768,1.184
132.0,3535.024,1.016
130.0,6646.576,1.368
129.0,6068.416,1.104
116.0,6555.472,1.072
129.0,5360.608,1.24
102.0,6502.912,1.072
214.0,5696.992,1.448
152.0,6390.784,1.064
214.0,2865.76,2.0
214.0,5290.528,3.448
214.0,5283.52,1.864
214.0,5038.24,2.928
214.0,5038.24,1.712
214.0,4943.632,1.12
214.0,4831.504,3.192
214.0,4768.432,3.104
214.0,4614.256,3.208
214.0,4449.568,2.816
214.0,4186.768,1.296
214.0,4088.656,1.464
214.0,3591.088,3.04
214.0,3240.688,2.504
214.0,3216.16,1.264
195.0,6674.608,1.072
195.0,6289.168,1.072
211.0,6348.736,1.088
202.0,6853.312,1.08
202.0,6597.52,1.152
200.0,6408.304,1.016
196.0,6184.048,1.128
196.0,6061.408,1.08
185.0,6005.344,1.096
182.0,4067.632,1.232
186.0,6043.888,1.008
185.0,6075.424,1.016
180.0,6285.664,1.08
180.0,4071.136,1.232
90.0,6071.92,1.168
89.0,6502.912,1.056
214.0,5609.392,2.496
374.0,9852.736,1.08
374.0,10189.12,1.056
374.0,10529.008,1.048
434.0,8812.048,2.496
443.0,8819.056,2.52
426.0,6348.736,1.016
427.0,8812.048,2.52
462.0,8805.04,2.512
463.0,8808.544,2.52
464.0,3696.208,2.008
464.0,4502.128,3.056
464.0,4715.872,2.936
464.0,5714.512,1.24
459.0,8801.536,2.528
460.0,8815.552,2.544
473.0,8794.528,2.544
475.0,8766.496,2.536
475.0,8833.072,2.52
476.0,8784.016,2.552
