m/z,RT1_center,RT2_center
116.0,5497.264,1.16
129.0,8374.048,1.088
168.0,5651.44,1.448
63.0,4085.152,1.824
101.0,4085.152,1.832
102.0,4106.176,1.832
127.0,4088.656,1.832
129.0,4099.168,1.688
115.0,5497.264,1.28
142.0,4778.944,1.576
128.0,4099.168,1.816
62.0,4095.664,1.824
141.0,5378.128,1.448
76.0,4085.152,1.816
117.0,5472.736,1.152
160.0,7456.0,1.28
64.0,7480.528,1.28
126.0,4085.152,1.832
115.0,4845.52,1.592
115.0,4761.424,1.584
141.0,4778.944,1.584
168.0,6085.936,1.496
152.0,5188.912,1.896
173.0,5767.072,1.312
153.0,5633.92,1.52
143.0,4842.016,1.584
116.0,4754.416,1.48
142.0,4831.504,1.44
141.0,4831.504,1.432
148.0,4694.848,1.408
77.0,4081.648,1.816
52.0,4081.648,1.824
74.0,4081.648,1.816
37.0,4085.152,1.832
153.0,5192.416,1.736
145.0,5511.28,1.152
116.0,4842.016,1.584
38.0,4085.152,1.824
62.0,4761.424,1.584
64.0,4078.144,1.832
143.0,4761.424,1.568
92.0,4792.96,1.144
92.0,4579.216,1.056
106.0,5052.256,1.088
92.0,3331.792,1.104
92.0,3941.488,1.08
92.0,4382.992,1.096
168.0,5423.68,1.592
106.0,3930.976,1.048
144.0,5760.064,1.12
160.0,7396.432,1.352
118.0,3163.6,1.216
124.0,3535.024,2.256
117.0,3153.088,1.216
171.0,5725.024,1.2
139.0,5269.504,1.696
152.0,5651.44,1.448
141.0,5644.432,1.328
154.0,5192.416,1.568
172.0,5760.064,1.12
161.0,5339.584,1.352
159.0,5749.552,1.024
170.0,5770.576,1.336
71.0,6050.896,1.024
51.0,4081.648,1.816
87.0,4078.144,1.816
75.0,4081.648,1.808
99.0,4078.144,2.04
92.0,4905.088,1.032
91.0,4022.08,1.04
58.0,4754.416,1.744
139.0,4771.936,1.728
120.0,5497.264,1.152
118.0,5507.776,1.144
106.0,5465.728,1.152
261.0,9043.312,1.16
170.0,5893.216,1.4
141.0,5451.712,1.472
170.0,5819.632,1.36
170.0,5945.776,1.416
182.0,6047.392,1.4
91.0,2403.232,1.208
116.0,3149.584,1.192
120.0,2413.744,1.208
132.0,3846.88,1.08
453.0,10560.544,1.152
230.0,7025.008,1.56
50.0,4085.152,1.84
62.0,4842.016,1.584
61.0,4081.648,1.816
130.0,4081.648,1.808
76.0,5630.416,1.52
78.0,4081.648,1.808
144.0,6474.88,1.376
200.0,7529.584,2.384
65.0,7217.728,1.592
130.0,7056.544,1.44
113.0,5178.4,1.784
62.0,5178.4,1.888
63.0,5332.576,1.672
132.0,5637.424,1.184
64.0,7378.912,1.416
64.0,7431.472,1.464
174.0,5455.216,2.408
168.0,5756.56,1.784
132.0,3503.488,1.08
63.0,4842.016,1.488
120.0,2823.712,1.152
63.0,4757.92,1.48
171.0,6015.856,1.264
65.0,7123.12,1.208
152.0,5304.544,1.832
68.0,7396.432,1.04
64.0,7326.352,1.44
184.0,6636.064,2.168
464.0,7669.744,1.296
214.0,7456.0,1.64
201.0,7694.272,2.544
188.0,5577.856,1.064
200.0,7697.776,2.416
182.0,6110.464,1.376
119.0,4032.592,1.08
145.0,4659.808,1.112
188.0,5686.48,1.048
120.0,5360.608,1.024
145.0,4449.568,1.12
119.0,3966.016,1.072
145.0,4782.448,1.12
145.0,4736.896,1.104
145.0,4835.008,1.112
145.0,4915.6,1.104
91.0,3321.28,1.088
188.0,5378.128,1.032
188.0,5448.208,1.04
105.0,3615.616,1.024
117.0,3499.984,1.16
105.0,3937.984,1.04
119.0,3478.96,1.088
117.0,4740.4,1.112
119.0,3850.384,1.016
117.0,3829.36,1.168
117.0,4407.52,1.216
145.0,5115.328,1.064
104.0,3952.0,1.248
91.0,3934.48,1.048
173.0,5707.504,1.048
145.0,5640.928,1.032
145.0,5399.152,1.072
145.0,5220.448,1.12
145.0,5167.888,1.056
117.0,4148.224,1.208
117.0,3885.424,1.192
105.0,3310.768,1.08
224.0,7203.712,1.472
65.0,7245.76,1.168
203.0,7701.28,2.128
218.0,8044.672,2.008
246.0,7897.504,1.528
246.0,7841.44,1.504
160.0,7333.36,1.376
153.0,5343.088,1.848
139.0,5343.088,1.848
160.0,7084.576,1.424
111.0,8367.04,1.096
150.0,7498.048,2.608
117.0,5024.224,1.088
119.0,4214.8,1.096
150.0,5486.752,1.576
76.0,6709.648,1.856
118.0,4680.832,1.08
214.0,7333.36,3.184
105.0,5059.264,1.08
167.0,6061.408,1.472
170.0,6022.864,1.432
464.0,7610.176,1.368
212.0,6755.2,1.208
464.0,7396.432,1.216
70.0,9029.296,1.16
216.0,8093.728,2.456
188.0,5637.424,1.112
153.0,5732.032,1.32
141.0,5507.776,1.4
173.0,5542.816,1.08
152.0,5367.616,1.448
156.0,5364.112,1.464
464.0,7147.648,1.336
464.0,6730.672,2.512
202.0,7557.616,2.216
122.0,4078.144,2.032
103.0,4074.64,2.032
141.0,5251.984,1.552
39.0,4078.144,2.04
65.0,4078.144,2.032
98.0,4078.144,2.04
100.0,4074.64,2.032
125.0,4074.64,2.04
89.0,4074.64,2.032
160.0,7161.664,1.432
160.0,7221.232,1.464
182.0,6534.448,1.36
188.0,5753.056,1.32
214.0,8587.792,1.24
214.0,7554.112,2.888
153.0,6050.896,1.432
167.0,6523.936,1.376
464.0,7806.4,1.52
146.0,7690.768,2.112
187.0,7690.768,2.368
464.0,4820.992,1.968
68.0,9039.808,1.144
65.0,2382.208,1.208
98.0,7690.768,2.288
92.0,2382.208,1.208
66.0,7466.512,1.432
259.0,7343.872,1.456
160.0,7039.024,1.48
132.0,5742.544,1.2
132.0,7491.04,1.264
159.0,5076.784,1.096
214.0,6825.28,1.336
119.0,6818.272,1.072
214.0,6530.944,2.52
167.0,6285.664,1.272
155.0,6078.928,1.304
214.0,6026.368,1.424
214.0,7042.528,2.336
170.0,5654.944,1.312
181.0,6054.4,1.376
182.0,5980.816,1.36
182.0,5805.616,1.36
167.0,5959.792,1.36
167.0,5823.136,1.352
182.0,5679.472,1.272
214.0,6713.152,2.272
150.0,5181.904,1.328
148.0,3937.984,1.048
171.0,5500.768,1.096
144.0,5423.68,1.144
159.0,5395.648,1.04
159.0,5167.888,1.072
145.0,5062.768,1.064
65.0,3934.48,1.048
89.0,4750.912,1.648
92.0,3734.752,1.024
105.0,2816.704,1.256
104.0,4880.56,1.152
145.0,5462.224,1.032
172.0,5430.688,1.16
120.0,4456.576,1.04
106.0,4530.16,1.032
132.0,5381.632,1.048
140.0,4757.92,1.648
132.0,4593.232,1.104
132.0,4099.168,1.536
132.0,3906.448,1.208
132.0,7697.776,2.384
120.0,2515.36,1.272
119.0,3710.224,1.136
132.0,3959.008,1.232
118.0,4572.208,1.168
116.0,5223.952,1.296
113.0,4754.416,1.656
188.0,5518.288,1.08
54.0,3524.512,1.216
464.0,7620.688,2.064
214.0,5500.768,1.168
279.0,9043.312,1.224
67.0,9025.792,1.104
144.0,6362.752,1.064
144.0,6713.152,1.056
128.0,7228.24,1.464
228.0,7053.04,1.688
171.0,7971.088,1.04
229.0,8051.68,1.432
242.0,7179.184,1.144
258.0,7364.896,1.4
171.0,6996.976,1.056
171.0,7063.552,1.064
160.0,7277.296,1.472
167.0,6099.952,1.576
201.0,7550.608,2.488
213.0,7042.528,1.28
144.0,7196.704,1.056
150.0,7547.104,2.464
172.0,7175.68,1.064
172.0,7067.056,1.072
172.0,7010.992,1.072
171.0,8388.064,1.064
173.0,6145.504,1.328
173.0,6071.92,1.32
172.0,7676.752,1.056
172.0,7294.816,1.064
64.0,7161.664,1.568
215.0,7021.504,1.384
64.0,7217.728,1.6
226.0,7144.144,1.512
145.0,6478.384,1.032
144.0,7662.736,1.072
145.0,6779.728,1.04
64.0,7273.792,1.792
144.0,7427.968,1.072
144.0,7364.896,1.056
167.0,6474.88,1.36
176.0,6706.144,1.856
152.0,6695.632,1.736
214.0,6989.968,1.32
167.0,5647.936,1.664
181.0,6131.488,1.384
132.0,8072.704,1.064
152.0,6047.392,1.472
181.0,6187.552,1.544
166.0,6075.424,1.448
182.0,6170.032,1.624
165.0,6050.896,1.456
214.0,7063.552,1.184
214.0,7939.552,1.736
214.0,6436.336,1.304
214.0,7329.856,1.296
181.0,6362.752,1.256
214.0,8475.664,1.384
166.0,6516.928,1.28
171.0,5637.424,1.232
181.0,6292.672,1.2
155.0,5714.512,1.272
