m/z,RT1_center,RT2_center
129.0,5472.736,1.168
129.0,8374.048,1.088
168.0,5651.44,1.448
63.0,4085.152,1.824
101.0,4085.152,1.832
102.0,4106.176,1.832
127.0,4088.656,1.832
129.0,4099.168,1.688
142.0,4778.944,1.576
128.0,4099.168,1.816
62.0,4095.664,1.824
141.0,5378.128,1.448
76.0,4085.152,1.816
160.0,7456.0,1.28
64.0,7480.528,1.28
126.0,4085.152,1.832
115.0,4845.52,1.592
115.0,4761.424,1.584
141.0,4778.944,1.584
168.0,6085.936,1.496
152.0,5188.912,1.896
168.0,5696.992,1.456
70.0,8367.04,1.104
153.0,5633.92,1.52
143.0,4842.016,1.584
116.0,4754.416,1.48
142.0,4831.504,1.44
141.0,4831.504,1.432
142.0,4884.064,1.568
77.0,4081.648,1.816
52.0,4081.648,1.824
74.0,4081.648,1.816
37.0,4085.152,1.832
153.0,5192.416,1.736
145.0,5511.28,1.152
116.0,4842.016,1.584
38.0,4085.152,1.824
62.0,4761.424,1.584
64.0,4078.144,1.832
143.0,4761.424,1.568
145.0,5718.016,1.056
216.0,6212.08,1.048
92.0,4792.96,1.144
92.0,4579.216,1.056
106.0,5052.256,1.088
92.0,3331.792,1.104
92.0,3941.488,1.08
92.0,4382.992,1.096
168.0,5423.68,1.592
106.0,3930.976,1.048
160.0,7396.432,1.352
118.0,3163.6,1.216
124.0,3535.024,2.256
117.0,3153.088,1.216
171.0,5725.024,1.2
160.0,4799.968,1.152
153.0,5273.008,1.88
152.0,5651.44,1.448
141.0,5644.432,1.328
154.0,5192.416,1.568
184.0,6092.944,1.288
170.0,5770.576,1.336
174.0,5003.2,1.112
99.0,4078.144,2.04
92.0,4905.088,1.032
91.0,4022.08,1.04
58.0,4754.416,1.744
139.0,4771.936,1.728
261.0,9043.312,1.16
170.0,5893.216,1.4
141.0,5451.712,1.472
170.0,5819.632,1.36
184.0,6152.512,1.304
170.0,5945.776,1.416
160.0,5003.2,1.144
91.0,2403.232,1.208
116.0,3149.584,1.192
120.0,2413.744,1.208
132.0,3846.88,1.08
453.0,10560.544,1.152
202.0,5763.568,1.048
184.0,6212.08,1.304
369.0,10245.184,2.424
115.0,3149.584,1.192
453.0,11405.008,1.144
132.0,5581.36,1.336
132.0,6170.032,1.144
63.0,3149.584,1.184
58.0,3149.584,1.192
132.0,5637.424,1.184
64.0,7378.912,1.416
64.0,7431.472,1.464
174.0,5455.216,2.408
168.0,5756.56,1.784
132.0,5490.256,1.152
132.0,3503.488,1.08
63.0,4842.016,1.488
120.0,2823.712,1.152
63.0,4757.92,1.48
171.0,6015.856,1.264
64.0,7326.352,1.44
184.0,6636.064,2.168
216.0,6257.632,1.048
173.0,5956.288,1.168
145.0,5945.776,1.168
216.0,6317.2,1.048
201.0,7694.272,2.544
188.0,5577.856,1.064
200.0,7697.776,2.416
119.0,4032.592,1.08
145.0,4659.808,1.112
188.0,5686.48,1.048
120.0,5360.608,1.024
145.0,4449.568,1.12
119.0,3966.016,1.072
145.0,4782.448,1.12
145.0,4736.896,1.104
145.0,4835.008,1.112
145.0,4915.6,1.104
91.0,3321.28,1.088
188.0,5378.128,1.032
188.0,5448.208,1.04
105.0,3615.616,1.024
117.0,3499.984,1.16
105.0,3937.984,1.04
119.0,3478.96,1.088
117.0,4740.4,1.112
119.0,3850.384,1.016
117.0,3829.36,1.168
117.0,4407.52,1.216
145.0,5115.328,1.064
104.0,3952.0,1.248
91.0,3934.48,1.048
173.0,5707.504,1.048
145.0,5640.928,1.032
145.0,5399.152,1.072
145.0,5220.448,1.12
145.0,5167.888,1.056
117.0,4148.224,1.208
117.0,3885.424,1.192
105.0,3310.768,1.08
174.0,5434.192,1.36
132.0,6436.336,1.064
