m/z,RT1_center,RT2_center
162.0,5504.272,1.112
57.0,9859.744,1.088
83.0,9838.72,1.048
160.0,5763.568,1.056
128.0,4099.168,1.816
141.0,5378.128,1.448
71.0,9845.728,1.216
168.0,6085.936,1.496
173.0,5767.072,1.312
56.0,9838.72,1.064
130.0,5742.544,1.32
128.0,5742.544,1.32
464.0,8510.704,1.656
36.0,2203.504,1.584
116.0,5732.032,1.072
141.0,5760.064,1.088
172.0,9817.696,1.664
142.0,5760.064,1.096
143.0,5760.064,1.096
145.0,5718.016,1.056
99.0,9842.224,1.2
85.0,9842.224,1.208
43.0,9842.224,1.216
144.0,5760.064,1.12
464.0,8633.344,1.688
160.0,7396.432,1.352
139.0,9838.72,1.048
245.0,7228.24,1.088
42.0,9074.848,1.096
63.0,5742.544,1.32
129.0,5739.04,1.32
174.0,5003.2,1.112
71.0,6050.896,1.024
132.0,6895.36,1.112
230.0,9053.824,1.136
56.0,9071.344,1.104
212.0,6506.416,1.184
170.0,5893.216,1.4
141.0,5451.712,1.472
170.0,5819.632,1.36
184.0,6152.512,1.304
170.0,5945.776,1.416
150.0,7466.512,1.352
202.0,5763.568,1.048
368.0,9484.816,1.272
58.0,6867.328,1.04
70.0,9838.72,1.064
184.0,6212.08,1.304
67.0,7802.896,1.216
138.0,7774.864,1.24
109.0,7802.896,1.192
122.0,7799.392,1.224
109.0,7438.48,1.12
160.0,6947.92,1.144
93.0,7799.392,1.528
76.0,7589.152,1.72
108.0,7799.392,1.216
202.0,7813.408,1.72
200.0,7529.584,2.384
132.0,5637.424,1.184
242.0,6937.408,1.112
71.0,10658.656,1.224
150.0,8247.904,2.456
150.0,8072.704,1.28
85.0,10658.656,1.224
99.0,10665.664,1.344
132.0,5490.256,1.152
182.0,7648.72,1.248
263.0,8240.896,1.32
278.0,8461.648,1.36
200.0,6937.408,1.232
263.0,8465.152,1.368
278.0,8247.904,1.32
382.0,9940.336,1.552
288.0,9933.328,1.536
174.0,9933.328,1.568
172.0,9929.824,1.84
153.0,6348.736,1.232
167.0,7547.104,1.28
184.0,7340.368,1.224
212.0,7543.6,1.28
211.0,7550.608,1.272
247.0,7606.672,1.2
175.0,7119.616,1.04
139.0,7554.112,1.352
245.0,7438.48,1.136
63.0,7123.12,1.16
153.0,7554.112,1.344
143.0,7186.192,1.112
169.0,7547.104,1.296
141.0,7568.128,1.296
123.0,7242.256,1.096
81.0,7228.24,1.088
93.0,7245.76,1.104
109.0,7298.32,1.096
109.0,7371.904,1.12
121.0,7235.248,1.08
122.0,7235.248,1.08
95.0,7245.76,1.096
107.0,7231.744,1.088
108.0,7235.248,1.088
109.0,7224.736,1.088
63.0,7543.6,1.32
67.0,7228.24,1.088
65.0,7123.12,1.208
145.0,7123.12,1.128
241.0,7477.024,1.208
128.0,7053.04,1.432
464.0,7669.744,1.296
214.0,7456.0,1.64
201.0,7694.272,2.544
188.0,5577.856,1.064
200.0,7697.776,2.416
464.0,7855.456,1.408
238.0,7844.944,1.408
226.0,6947.92,1.472
224.0,7203.712,1.472
184.0,6548.464,1.392
168.0,6362.752,1.224
233.0,8279.44,1.872
248.0,8265.424,1.872
65.0,7245.76,1.168
203.0,7701.28,2.128
218.0,8044.672,2.008
129.0,7543.6,1.32
129.0,7477.024,1.328
128.0,7851.952,1.312
128.0,7102.096,1.456
105.0,7151.152,1.048
246.0,7242.256,1.096
246.0,7144.144,1.08
129.0,7648.72,1.304
245.0,7154.656,1.072
213.0,7547.104,1.288
216.0,7788.88,1.216
244.0,7067.056,1.08
160.0,7333.36,1.376
153.0,5343.088,1.848
139.0,5343.088,1.848
455.0,10262.704,1.744
174.0,5059.264,1.12
167.0,6061.408,1.472
170.0,6022.864,1.432
464.0,7610.176,1.368
212.0,6755.2,1.208
464.0,7396.432,1.216
70.0,9029.296,1.16
216.0,8093.728,2.456
188.0,5637.424,1.112
152.0,5367.616,1.448
156.0,5364.112,1.464
220.0,8163.808,1.68
220.0,7466.512,1.4
220.0,7536.592,1.472
202.0,7557.616,2.216
362.0,9887.776,1.976
369.0,9936.832,1.344
370.0,9936.832,1.304
155.0,6362.752,1.208
36.0,2200.0,2.656
95.0,7431.472,1.048
150.0,7333.36,1.368
182.0,6534.448,1.36
188.0,5753.056,1.32
174.0,5248.48,1.104
174.0,5374.624,1.248
153.0,6050.896,1.432
167.0,6523.936,1.376
124.0,6867.328,1.016
44.0,10087.504,1.512
44.0,9484.816,1.264
174.0,9635.488,1.368
59.0,6867.328,1.024
262.0,9467.296,1.24
340.0,8748.976,0.984
70.0,6867.328,1.024
83.0,6867.328,1.016
56.0,6863.824,1.344
55.0,6867.328,1.016
68.0,6867.328,1.016
41.0,6867.328,1.016
99.0,8265.424,1.368
95.0,9768.64,1.496
109.0,6867.328,1.016
43.0,6867.328,1.024
174.0,5767.072,1.4
464.0,7806.4,1.52
160.0,4908.592,1.304
152.0,6513.424,1.368
66.0,7466.512,1.432
118.0,6590.512,1.104
129.0,7102.096,1.408
128.0,7459.504,1.296
227.0,6772.72,1.072
108.0,9183.472,1.056
243.0,9222.016,1.072
109.0,9204.496,1.072
113.0,9859.744,1.112
124.0,9200.992,1.08
129.0,6015.856,1.648
169.0,6769.216,1.096
132.0,5742.544,1.2
132.0,7491.04,1.264
152.0,6348.736,1.264
152.0,6464.368,1.384
152.0,6142.0,1.488
150.0,6334.72,1.224
152.0,6092.944,1.424
171.0,9758.128,1.776
139.0,10098.016,1.688
172.0,9456.784,1.48
172.0,9653.008,1.664
139.0,9758.128,1.72
245.0,10154.08,1.712
274.0,9933.328,1.544
322.0,10087.504,1.504
352.0,9758.128,1.856
361.0,9260.56,1.256
174.0,9460.288,1.264
174.0,9758.128,1.472
230.0,9229.024,1.144
412.0,9463.792,1.208
185.0,9761.632,1.688
228.0,9894.784,1.888
110.0,6867.328,1.016
56.0,8945.2,0.96
70.0,9074.848,1.088
83.0,9092.368,1.056
83.0,9919.312,1.824
352.0,9505.84,1.616
340.0,10087.504,1.544
340.0,9484.816,1.32
340.0,9074.848,1.128
44.0,9071.344,1.08
464.0,8037.664,1.232
132.0,6324.208,1.112
464.0,8198.848,1.44
67.0,9025.792,1.104
167.0,6474.88,1.36
171.0,7851.952,1.368
245.0,9940.336,1.496
216.0,9204.496,1.072
217.0,7448.992,1.048
151.0,6050.896,1.944
121.0,9208.0,1.072
394.0,10378.336,2.184
174.0,9204.496,1.088
275.0,7918.528,1.32
273.0,7326.352,1.024
111.0,9845.728,1.056
93.0,9036.304,1.016
116.0,7785.376,1.44
154.0,6029.872,1.808
70.0,8696.416,1.064
56.0,6937.408,1.328
54.0,9838.72,1.056
41.0,9200.992,1.072
123.0,9200.992,1.072
236.0,7704.784,1.584
38.0,7210.72,1.336
172.0,10101.52,1.576
202.0,6029.872,1.08
132.0,6394.288,1.152
63.0,6464.368,1.36
152.0,6047.392,1.472
181.0,6187.552,1.544
166.0,6075.424,1.448
182.0,6170.032,1.624
165.0,6050.896,1.456
214.0,7063.552,1.184
214.0,7939.552,1.736
214.0,6436.336,1.304
214.0,7329.856,1.296
181.0,6362.752,1.256
214.0,8475.664,1.384
184.0,6040.384,1.288
55.0,9050.32,1.136
143.0,6618.544,1.08
149.0,7228.24,1.536
294.0,9484.816,1.264
115.0,7694.272,1.32
464.0,8125.264,1.824
82.0,7459.504,1.232
218.0,10185.616,1.4
291.0,8020.144,1.552
232.0,9029.296,1.088
218.0,9950.848,1.304
67.0,7957.072,1.272
109.0,9029.296,1.08
90.0,7711.792,1.688
372.0,8896.144,2.44
218.0,8906.656,1.424
124.0,8990.752,1.032
132.0,6268.144,1.168
138.0,7957.072,1.288
122.0,9116.896,1.088
110.0,7971.088,1.568
123.0,9702.064,1.32
128.0,7403.44,1.352
244.0,7010.992,1.04
272.0,7557.616,1.288
242.0,7119.616,1.152
144.0,7308.832,1.144
101.0,7697.776,2.544
242.0,7049.536,1.104
216.0,7953.568,2.232
227.0,7270.288,1.416
216.0,7879.984,2.336
215.0,8107.744,2.352
171.0,7424.464,1.096
172.0,6905.872,1.08
171.0,7557.616,1.112
171.0,8149.792,1.32
171.0,7361.392,1.128
171.0,6940.912,1.432
171.0,7126.624,1.104
171.0,7193.2,1.08
101.0,7533.088,2.4
215.0,7953.568,2.232
172.0,6958.432,1.072
144.0,7484.032,1.088
144.0,7536.592,1.104
184.0,6338.224,1.304
172.0,7463.008,1.176
172.0,7848.448,1.36
171.0,7491.04,1.176
164.0,6057.904,1.848
63.0,6057.904,1.848
354.0,8920.672,1.216
354.0,8969.728,1.24
92.0,6975.952,1.024
118.0,6933.904,1.168
128.0,6930.4,1.528
187.0,5563.84,1.048
242.0,7315.84,1.192
236.0,7564.624,1.576
217.0,7957.072,1.48
218.0,8279.44,1.872
242.0,7459.504,1.248
242.0,7382.416,1.216
234.0,7981.6,1.832
166.0,6366.256,1.312
139.0,5784.592,1.592
181.0,6537.952,1.448
214.0,6692.128,1.408
183.0,6362.752,1.288
89.0,6359.248,1.24
214.0,6250.624,1.272
182.0,6366.256,1.296
141.0,6369.76,1.224
180.0,6359.248,1.28
115.0,5714.512,1.12
464.0,6867.328,1.568
243.0,6965.44,1.032
214.0,6320.704,1.584
214.0,6380.272,1.632
115.0,6376.768,1.208
132.0,6001.84,1.376
129.0,5661.952,1.112
173.0,5623.408,1.104
173.0,5837.152,1.096
122.0,9050.32,1.168
115.0,5654.944,1.208
171.0,5809.12,1.376
171.0,5879.2,1.392
165.0,6530.944,1.368
63.0,5637.424,1.384
464.0,8254.912,1.296
68.0,7452.496,1.224
124.0,9716.08,1.2
368.0,9025.792,1.088
142.0,7694.272,1.488
68.0,8994.256,1.048
68.0,7953.568,1.176
172.0,7354.384,1.28
172.0,7627.696,1.168
206.0,7477.024,2.032
272.0,7603.168,1.2
171.0,7298.32,1.168
128.0,7165.168,1.408
171.0,7795.888,1.376
171.0,7725.808,1.104
128.0,7291.312,1.456
128.0,7350.88,1.424
172.0,7519.072,1.184
216.0,7186.192,1.024
159.0,6268.144,1.096
145.0,5875.696,1.088
213.0,7322.848,1.088
216.0,6446.848,1.08
185.0,7301.824,1.096
185.0,6923.392,1.072
171.0,8023.648,1.272
128.0,7526.08,1.224
129.0,7413.952,1.28
129.0,7708.288,1.152
144.0,7883.488,1.216
185.0,8146.288,1.32
242.0,6982.96,1.096
128.0,7729.312,1.216
129.0,7364.896,1.368
160.0,7519.072,1.232
185.0,7526.08,1.12
101.0,8346.016,1.472
232.0,8317.984,2.072
56.0,9025.792,1.12
204.0,7708.288,2.248
153.0,6124.48,1.576
167.0,6912.88,1.384
229.0,8405.584,2.096
213.0,8027.152,2.24
242.0,8871.616,2.008
217.0,8034.16,2.256
215.0,8027.152,2.248
260.0,7298.32,1.408
167.0,6369.76,1.28
118.0,6786.736,1.136
90.0,6464.368,1.4
165.0,6366.256,1.312
180.0,6464.368,1.48
198.0,6366.256,1.224
195.0,6464.368,1.392
196.0,6548.464,1.48
155.0,5963.296,1.464
156.0,5441.2,1.464
155.0,5805.616,1.384
155.0,5360.608,1.44
76.0,5360.608,1.456
115.0,5360.608,1.464
63.0,5437.696,1.464
155.0,5875.696,1.384
115.0,5441.2,1.464
129.0,5865.184,1.376
63.0,5938.768,1.392
63.0,6159.52,1.488
64.0,5865.184,1.176
76.0,6142.0,1.488
76.0,6313.696,1.248
102.0,5865.184,1.376
102.0,6345.232,1.224
176.0,6345.232,1.24
116.0,5865.184,1.184
179.0,6345.232,1.232
184.0,5956.288,1.24
196.0,6366.256,1.288
154.0,5872.192,1.376
199.0,6352.24,1.208
142.0,5865.184,1.168
142.0,5644.432,1.16
141.0,5858.176,1.328
139.0,6355.744,1.248
178.0,6362.752,1.24
169.0,5805.616,1.376
169.0,5893.216,1.376
156.0,6345.232,1.208
154.0,6359.248,1.216
154.0,5942.272,1.288
152.0,5938.768,1.4
169.0,5956.288,1.36
164.0,6359.248,1.232
76.0,6043.888,1.432
200.0,6345.232,1.216
115.0,5872.192,1.376
151.0,6355.744,1.224
164.0,6478.384,1.368
128.0,6362.752,1.216
169.0,6919.888,1.08
128.0,5872.192,1.368
196.0,6453.856,1.408
218.0,9838.72,1.288
128.0,6762.208,0.952
171.0,7613.68,1.16
185.0,7470.016,1.192
230.0,6625.552,1.224
144.0,6296.176,1.312
202.0,7683.76,2.48
182.0,6422.32,1.448
216.0,8027.152,2.024
141.0,6008.848,1.432
141.0,7494.544,1.296
141.0,7620.688,1.672
141.0,7694.272,1.2
141.0,8030.656,1.608
141.0,8770.0,0.928
141.0,8934.688,1.04
141.0,9113.392,0.96
142.0,7315.84,1.248
142.0,7098.592,1.112
142.0,6853.312,1.144
142.0,6643.072,1.12
142.0,6355.744,1.408
141.0,7322.848,1.264
145.0,9793.168,1.736
146.0,6299.68,1.392
146.0,9649.504,1.552
146.0,9793.168,1.728
149.0,10553.536,1.84
140.0,6863.824,1.024
145.0,9481.312,1.504
142.0,6012.352,1.448
142.0,7886.992,1.36
142.0,7792.384,1.232
140.0,7631.2,1.72
140.0,7988.608,1.776
140.0,9071.344,1.088
140.0,9481.312,1.256
140.0,9775.648,1.512
140.0,9842.224,1.184
143.0,6008.848,1.44
127.0,7617.184,1.64
128.0,6012.352,1.448
128.0,6296.176,1.392
128.0,8030.656,1.608
128.0,9747.616,2.12
129.0,8142.784,1.352
130.0,5791.6,1.08
130.0,6012.352,1.448
137.0,7795.888,1.216
130.0,9193.984,1.56
132.0,5791.6,1.072
132.0,5865.184,1.456
132.0,9278.08,1.208
132.0,9964.864,1.576
118.0,7158.16,1.04
118.0,7669.744,1.176
118.0,8072.704,1.256
130.0,6944.416,1.056
136.0,7795.888,1.216
137.0,7448.992,1.048
141.0,9320.128,1.088
137.0,9204.496,1.064
137.0,10550.032,1.872
138.0,6863.824,1.024
138.0,7445.488,1.056
138.0,7592.656,1.216
127.0,6008.848,1.44
139.0,7466.512,1.216
139.0,7638.208,1.744
139.0,7743.328,1.864
139.0,7813.408,1.912
139.0,7883.488,1.36
139.0,7950.064,1.712
139.0,8181.328,1.44
126.0,8265.424,1.36
139.0,5959.792,1.568
176.0,8307.472,1.088
176.0,8388.064,1.112
160.0,8184.832,1.504
160.0,9204.496,1.08
161.0,8188.336,1.584
162.0,9186.976,1.08
164.0,7957.072,1.768
152.0,7049.536,1.104
165.0,7746.832,1.464
165.0,7922.032,1.368
165.0,8163.808,1.488
166.0,7638.208,1.736
166.0,7746.832,1.848
166.0,7936.048,1.664
167.0,7753.84,1.744
167.0,7915.024,1.352
165.0,7533.088,1.128
180.0,7778.368,1.696
180.0,7922.032,1.376
180.0,7981.6,1.8
168.0,7753.84,1.648
168.0,7988.608,1.792
169.0,6229.6,1.152
169.0,7326.352,1.264
