m/z,RT1_center,RT2_center
162.0,5504.272,1.112
128.0,5493.76,1.16
130.0,5490.256,1.16
63.0,5493.76,1.16
116.0,5497.264,1.16
129.0,5472.736,1.168
137.0,2690.56,0.88
137.0,2543.392,0.872
129.0,8374.048,1.088
57.0,9859.744,1.088
137.0,3005.92,0.84
83.0,9838.72,1.048
115.0,5497.264,1.28
291.0,8836.576,2.952
294.0,8752.48,2.664
71.0,9845.728,1.216
162.0,4999.696,1.168
55.0,9859.744,1.072
168.0,9856.24,1.064
124.0,9856.24,1.056
39.0,9859.744,1.064
365.0,9383.2,1.168
262.0,8780.512,2.664
56.0,9838.72,1.064
138.0,2539.888,0.872
138.0,2690.56,0.88
138.0,3005.92,0.848
64.0,5490.256,1.152
150.0,6068.416,2.048
149.0,6057.904,2.064
99.0,9842.224,1.2
85.0,9842.224,1.208
43.0,9842.224,1.216
139.0,9838.72,1.048
42.0,9856.24,1.072
245.0,7228.24,1.088
62.0,5497.264,1.16
174.0,5003.2,1.112
71.0,6050.896,1.024
168.0,7568.128,1.464
245.0,7277.296,1.184
217.0,7137.136,1.096
132.0,6895.36,1.112
168.0,7844.944,1.4
65.0,3076.0,1.176
145.0,7063.552,1.048
170.0,6776.224,1.072
288.0,7757.344,1.176
146.0,7032.016,1.088
230.0,7025.008,1.56
58.0,6867.328,1.04
70.0,9838.72,1.064
65.0,7217.728,1.592
130.0,7056.544,1.44
242.0,6937.408,1.112
143.0,6485.392,1.168
382.0,9940.336,1.552
288.0,9933.328,1.536
174.0,9933.328,1.568
172.0,9929.824,1.84
372.0,9271.072,1.44
382.0,9134.416,1.208
41.0,9859.744,1.072
427.0,9239.536,1.368
58.0,6397.792,1.056
372.0,9211.504,1.4
62.0,6692.128,1.336
185.0,6751.696,1.056
168.0,6362.752,1.224
40.0,9222.016,1.376
44.0,9243.04,1.496
50.0,6047.392,2.192
58.0,5287.024,1.056
37.0,6054.4,2.184
38.0,6054.4,2.192
38.0,9856.24,1.056
39.0,6043.888,2.152
428.0,9239.536,1.44
398.0,9218.512,1.12
396.0,9929.824,1.568
382.0,9656.512,1.456
104.0,6047.392,2.176
460.0,9236.032,1.456
443.0,9232.528,1.472
434.0,9236.032,1.456
294.0,8798.032,2.656
275.0,9926.32,1.552
261.0,9656.512,1.44
239.0,8265.424,1.496
490.0,9232.528,1.464
230.0,9369.184,1.176
354.0,9236.032,1.48
360.0,9236.032,1.44
366.0,9386.704,1.176
121.0,6047.392,2.152
122.0,6047.392,2.144
215.0,9215.008,1.112
215.0,9761.632,1.432
93.0,6047.392,2.16
76.0,6050.896,2.192
67.0,9859.744,1.048
473.0,9211.504,1.44
487.0,9239.536,1.456
473.0,9260.56,1.448
476.0,9239.536,1.488
488.0,9239.536,1.464
233.0,8279.44,1.872
248.0,8265.424,1.872
160.0,7333.36,1.376
160.0,7084.576,1.424
174.0,5059.264,1.12
176.0,6043.888,2.152
202.0,7557.616,2.216
160.0,7161.664,1.432
160.0,7221.232,1.464
168.0,6488.896,1.216
160.0,4908.592,1.304
227.0,6772.72,1.072
108.0,9183.472,1.056
243.0,9222.016,1.072
109.0,9204.496,1.072
113.0,9859.744,1.112
124.0,9200.992,1.08
129.0,6015.856,1.648
169.0,6769.216,1.096
411.0,8969.728,1.248
167.0,6474.88,1.36
245.0,9940.336,1.496
216.0,9204.496,1.072
217.0,7448.992,1.048
151.0,6050.896,1.944
121.0,9208.0,1.072
394.0,10378.336,2.184
174.0,9204.496,1.088
275.0,7918.528,1.32
273.0,7326.352,1.024
111.0,9845.728,1.056
93.0,9036.304,1.016
116.0,7785.376,1.44
154.0,6029.872,1.808
70.0,8696.416,1.064
56.0,6937.408,1.328
54.0,9838.72,1.056
41.0,9200.992,1.072
123.0,9200.992,1.072
236.0,7704.784,1.584
38.0,7210.72,1.336
