m/z,RT1_center,RT2_center
168.0,5651.44,1.448
63.0,4085.152,1.824
101.0,4085.152,1.832
102.0,4106.176,1.832
127.0,4088.656,1.832
129.0,4099.168,1.688
142.0,4778.944,1.576
291.0,8836.576,2.952
128.0,4099.168,1.816
62.0,4095.664,1.824
141.0,5378.128,1.448
76.0,4085.152,1.816
160.0,7456.0,1.28
64.0,7480.528,1.28
126.0,4085.152,1.832
115.0,4845.52,1.592
115.0,4761.424,1.584
141.0,4778.944,1.584
168.0,6085.936,1.496
168.0,5696.992,1.456
153.0,5633.92,1.52
143.0,4842.016,1.584
116.0,4754.416,1.48
142.0,4831.504,1.44
141.0,4831.504,1.432
142.0,4884.064,1.568
262.0,8780.512,2.664
77.0,4081.648,1.816
52.0,4081.648,1.824
74.0,4081.648,1.816
37.0,4085.152,1.832
153.0,5192.416,1.736
116.0,4842.016,1.584
38.0,4085.152,1.824
62.0,4761.424,1.584
64.0,4078.144,1.832
143.0,4761.424,1.568
370.0,8962.72,1.488
216.0,6212.08,1.048
92.0,4792.96,1.144
92.0,4579.216,1.056
106.0,5052.256,1.088
92.0,3331.792,1.104
92.0,3941.488,1.08
92.0,4382.992,1.096
168.0,5423.68,1.592
106.0,3930.976,1.048
160.0,4799.968,1.152
108.0,3853.888,1.208
51.0,4081.648,1.816
87.0,4078.144,1.816
75.0,4081.648,1.808
99.0,4078.144,2.04
92.0,4905.088,1.032
91.0,4022.08,1.04
58.0,4754.416,1.744
139.0,4771.936,1.728
67.0,3853.888,1.192
39.0,3850.384,1.192
68.0,3850.384,1.192
109.0,3853.888,1.192
81.0,3853.888,1.192
95.0,3853.888,1.2
80.0,3850.384,1.192
65.0,3076.0,1.176
230.0,7025.008,1.56
213.0,6509.92,1.168
146.0,2988.4,1.656
50.0,4085.152,1.84
62.0,4842.016,1.584
61.0,4081.648,1.816
130.0,4081.648,1.808
76.0,5630.416,1.52
78.0,4081.648,1.808
144.0,6474.88,1.376
230.0,6685.12,1.072
200.0,7529.584,2.384
143.0,6485.392,1.168
36.0,4081.648,1.816
168.0,8882.128,1.456
369.0,9278.08,1.592
168.0,6362.752,1.224
172.0,10458.928,1.272
454.0,10206.64,1.248
174.0,5059.264,1.12
202.0,7557.616,2.216
37.0,2974.384,1.968
34.0,7477.024,1.104
232.0,6555.472,1.344
145.0,6657.088,1.088
215.0,6310.192,1.032
215.0,6681.616,1.072
148.0,2977.888,1.968
174.0,7554.112,2.624
215.0,6254.128,1.016
218.0,6338.224,1.016
34.0,7487.536,2.392
122.0,4078.144,2.032
103.0,4074.64,2.032
141.0,5251.984,1.552
39.0,4078.144,2.04
65.0,4078.144,2.032
98.0,4078.144,2.04
100.0,4074.64,2.032
125.0,4074.64,2.04
89.0,4074.64,2.032
160.0,4908.592,1.304
66.0,7466.512,1.432
118.0,6590.512,1.104
62.0,2963.872,1.992
61.0,2963.872,1.992
56.0,2953.36,1.984
55.0,8885.632,1.832
60.0,2953.36,1.984
56.0,8885.632,1.832
54.0,2953.36,1.984
55.0,2960.368,1.992
42.0,8885.632,1.832
41.0,3853.888,1.336
93.0,3857.392,1.336
92.0,4025.584,1.056
99.0,8885.632,1.832
93.0,4323.424,1.136
83.0,8885.632,1.824
85.0,2956.864,1.984
83.0,3853.888,1.336
81.0,4323.424,1.136
80.0,3521.008,1.24
80.0,4323.424,1.128
139.0,4849.024,1.872
131.0,8931.184,1.44
124.0,8885.632,1.856
122.0,2953.36,1.992
114.0,2956.864,1.984
113.0,2988.4,1.96
112.0,2977.888,1.976
111.0,8934.688,0.64
50.0,2995.408,1.952
111.0,3955.504,0.76
111.0,2991.904,1.952
41.0,3521.008,1.24
38.0,2995.408,1.944
37.0,3030.448,1.872
36.0,2970.88,1.992
33.0,7473.52,1.288
296.0,8966.224,1.416
296.0,8906.656,1.416
276.0,8885.632,1.84
264.0,4081.648,2.184
264.0,2953.36,2.0
262.0,8857.6,2.232
228.0,6390.784,1.12
220.0,4078.144,2.184
81.0,3524.512,1.24
219.0,2953.36,1.992
174.0,9148.432,3.472
76.0,2967.376,1.992
75.0,2967.376,1.992
74.0,2967.376,1.992
72.0,2956.864,1.984
67.0,3521.008,1.24
427.0,8938.192,1.408
425.0,8882.128,1.824
424.0,8889.136,1.84
423.0,10325.776,2.352
414.0,4081.648,2.176
414.0,2953.36,1.992
396.0,8906.656,3.448
395.0,8910.16,3.4
111.0,4933.12,0.736
395.0,8840.08,3.4
372.0,8966.224,1.408
110.0,2970.88,1.984
109.0,6236.608,1.072
109.0,3521.008,1.24
109.0,2960.368,1.984
108.0,2960.368,1.992
474.0,8945.2,1.4
473.0,8962.72,1.4
473.0,8913.664,1.4
469.0,10507.984,1.264
469.0,10311.76,1.248
469.0,9961.36,1.256
464.0,4078.144,2.192
464.0,2956.864,1.984
219.0,4078.144,2.184
457.0,8927.68,1.4
454.0,9961.36,1.256
174.0,8822.56,3.384
172.0,10339.792,1.264
170.0,8931.184,1.392
169.0,4078.144,2.144
149.0,2953.36,1.992
395.0,8885.632,1.84
490.0,8934.688,1.4
372.0,8910.16,1.416
371.0,8962.72,1.416
371.0,8906.656,1.416
370.0,8906.656,1.424
360.0,8931.184,1.4
460.0,8934.688,1.4
454.0,9842.224,1.256
444.0,8924.176,1.408
443.0,8931.184,1.4
434.0,8934.688,1.4
428.0,8938.192,1.4
488.0,8927.68,1.408
487.0,8938.192,1.408
476.0,8941.696,1.424
489.0,8962.72,1.416
489.0,8910.16,1.416
411.0,8969.728,1.248
351.0,8871.616,1.48
230.0,8924.176,1.368
260.0,8938.192,1.608
369.0,8966.224,1.192
172.0,10101.52,1.576
292.0,8826.064,2.72
117.0,3090.016,1.304
116.0,3079.504,1.296
115.0,3083.008,1.296
354.0,8920.672,1.216
354.0,8969.728,1.24
201.0,8819.056,2.688
134.0,3076.0,1.176
120.0,3076.0,1.184
119.0,3100.528,1.192
91.0,3076.0,1.184
63.0,3076.0,1.176
39.0,3072.496,1.176
178.0,6720.16,1.992
65.0,6050.896,2.168
122.0,7641.712,1.184
92.0,3076.0,1.168
58.0,3076.0,1.168
62.0,3076.0,1.176
454.0,9915.808,1.264
202.0,7683.76,2.48
472.0,9796.672,1.568
369.0,8906.656,1.176
220.0,2942.848,1.64
150.0,2967.376,2.32
