m/z,RT1_center,RT2_center
168.0,5651.44,1.448
63.0,4085.152,1.824
101.0,4085.152,1.832
102.0,4106.176,1.832
127.0,4088.656,1.832
129.0,4099.168,1.688
142.0,4778.944,1.576
62.0,4095.664,1.824
160.0,7456.0,1.28
64.0,7480.528,1.28
126.0,4085.152,1.832
115.0,4845.52,1.592
115.0,4761.424,1.584
141.0,4778.944,1.584
464.0,6580.0,1.112
152.0,5188.912,1.896
173.0,5767.072,1.312
168.0,5696.992,1.456
142.0,4831.504,1.44
141.0,4831.504,1.432
77.0,4081.648,1.816
52.0,4081.648,1.824
74.0,4081.648,1.816
37.0,4085.152,1.832
150.0,6068.416,2.048
149.0,6057.904,2.064
153.0,5192.416,1.736
464.0,8100.736,1.344
464.0,8079.712,2.896
145.0,5718.016,1.056
216.0,6212.08,1.048
464.0,8633.344,1.688
464.0,7172.176,2.408
160.0,7396.432,1.352
152.0,5651.44,1.448
141.0,5644.432,1.328
154.0,5192.416,1.568
216.0,5767.072,1.032
184.0,6092.944,1.288
108.0,3853.888,1.208
132.0,6895.36,1.112
51.0,4081.648,1.816
87.0,4078.144,1.816
75.0,4081.648,1.808
168.0,7844.944,1.4
212.0,6506.416,1.184
170.0,5893.216,1.4
141.0,5451.712,1.472
170.0,5819.632,1.36
184.0,6152.512,1.304
65.0,3076.0,1.176
182.0,6047.392,1.4
145.0,7063.552,1.048
170.0,6776.224,1.072
288.0,7757.344,1.176
146.0,7032.016,1.088
230.0,7025.008,1.56
213.0,6509.92,1.168
146.0,2988.4,1.656
368.0,9484.816,1.272
212.0,6369.76,1.144
144.0,6474.88,1.376
230.0,6685.12,1.072
464.0,6818.272,2.192
464.0,7441.984,2.904
200.0,7529.584,2.384
464.0,6551.968,2.0
65.0,7217.728,1.592
130.0,7056.544,1.44
242.0,6937.408,1.112
64.0,7378.912,1.416
64.0,7431.472,1.464
174.0,5455.216,2.408
168.0,5756.56,1.784
143.0,6485.392,1.168
396.0,10091.008,1.512
153.0,6348.736,1.232
145.0,6240.112,1.088
213.0,7704.784,1.32
145.0,6289.168,1.08
64.0,7683.76,1.224
145.0,7123.12,1.128
241.0,7477.024,1.208
128.0,7053.04,1.432
64.0,7326.352,1.44
184.0,6636.064,2.168
216.0,6257.632,1.048
173.0,5956.288,1.168
145.0,5945.776,1.168
216.0,6317.2,1.048
185.0,6751.696,1.056
201.0,7694.272,2.544
188.0,5577.856,1.064
200.0,7697.776,2.416
182.0,6110.464,1.376
464.0,7855.456,1.408
238.0,7844.944,1.408
226.0,6947.92,1.472
224.0,7203.712,1.472
240.0,7291.312,1.168
280.0,7894.0,1.168
184.0,6548.464,1.392
168.0,6362.752,1.224
233.0,8279.44,1.872
248.0,8265.424,1.872
129.0,7543.6,1.32
129.0,7477.024,1.328
128.0,7851.952,1.312
128.0,7102.096,1.456
105.0,7151.152,1.048
246.0,7242.256,1.096
246.0,7144.144,1.08
129.0,7648.72,1.304
245.0,7154.656,1.072
213.0,7547.104,1.288
216.0,7788.88,1.216
244.0,7067.056,1.08
160.0,7333.36,1.376
145.0,6092.944,1.056
288.0,7252.768,1.36
245.0,7385.92,1.12
245.0,7894.0,1.336
174.0,7371.904,1.288
159.0,7046.032,1.064
160.0,7084.576,1.424
184.0,6261.136,1.336
167.0,6061.408,1.472
170.0,6022.864,1.432
201.0,6212.08,1.048
201.0,6082.432,1.056
464.0,7610.176,1.368
212.0,6755.2,1.208
464.0,7396.432,1.216
203.0,6940.912,1.688
174.0,6695.632,1.304
220.0,6898.864,1.504
464.0,7249.264,2.192
173.0,5542.816,1.08
176.0,6043.888,2.152
464.0,7147.648,1.336
464.0,6730.672,2.512
220.0,8163.808,1.68
220.0,7466.512,1.4
220.0,7536.592,1.472
202.0,7557.616,2.216
37.0,2974.384,1.968
34.0,7477.024,1.104
232.0,6555.472,1.344
145.0,6657.088,1.088
215.0,6310.192,1.032
215.0,6681.616,1.072
148.0,2977.888,1.968
174.0,7554.112,2.624
215.0,6254.128,1.016
218.0,6338.224,1.016
34.0,7487.536,2.392
216.0,7655.728,1.16
243.0,7445.488,1.136
243.0,7378.912,1.112
173.0,6912.88,1.04
146.0,6961.936,1.072
145.0,7655.728,1.192
129.0,7238.752,1.48
288.0,7694.272,1.152
243.0,7557.616,1.16
213.0,7809.904,1.232
216.0,7109.104,1.048
243.0,7946.56,1.224
160.0,7161.664,1.432
160.0,7221.232,1.464
129.0,6471.376,1.16
214.0,8587.792,1.24
214.0,7554.112,2.888
426.0,7683.76,1.384
257.0,7690.768,1.32
260.0,7680.256,1.36
376.0,7694.272,1.224
464.0,7484.032,1.8
98.0,7683.76,1.608
130.0,7715.296,1.44
244.0,7694.272,1.68
231.0,7708.288,1.632
203.0,7683.76,1.328
187.0,7680.256,1.416
464.0,6488.896,2.296
464.0,7806.4,1.52
66.0,7466.512,1.432
118.0,6590.512,1.104
259.0,7343.872,1.456
160.0,7039.024,1.48
129.0,7102.096,1.408
128.0,7459.504,1.296
187.0,5924.752,1.064
132.0,5742.544,1.2
132.0,7491.04,1.264
152.0,6348.736,1.264
152.0,6464.368,1.384
214.0,6825.28,1.336
119.0,6818.272,1.072
214.0,6530.944,2.52
167.0,6285.664,1.272
155.0,6078.928,1.304
214.0,6026.368,1.424
214.0,7042.528,2.336
170.0,5654.944,1.312
181.0,6054.4,1.376
182.0,5980.816,1.36
182.0,5805.616,1.36
167.0,5959.792,1.36
167.0,5823.136,1.352
182.0,5679.472,1.272
214.0,6713.152,2.272
185.0,6467.872,1.08
120.0,7673.248,1.368
132.0,6558.976,1.288
352.0,9505.84,1.616
340.0,10087.504,1.544
340.0,9484.816,1.32
340.0,9074.848,1.128
44.0,9071.344,1.08
220.0,7343.872,2.56
220.0,6478.384,1.16
220.0,8310.976,2.952
220.0,6965.44,2.304
464.0,8037.664,1.232
132.0,6324.208,1.112
464.0,8198.848,1.44
464.0,7620.688,2.064
144.0,6362.752,1.064
144.0,6713.152,1.056
128.0,7228.24,1.464
228.0,7053.04,1.688
171.0,7971.088,1.04
229.0,8051.68,1.432
242.0,7179.184,1.144
258.0,7364.896,1.4
171.0,6996.976,1.056
171.0,7063.552,1.064
160.0,7277.296,1.472
167.0,6099.952,1.576
201.0,7550.608,2.488
213.0,7042.528,1.28
144.0,7196.704,1.056
150.0,7547.104,2.464
172.0,7175.68,1.064
172.0,7067.056,1.072
172.0,7010.992,1.072
171.0,8388.064,1.064
173.0,6145.504,1.328
173.0,6071.92,1.32
172.0,7676.752,1.056
172.0,7294.816,1.064
64.0,7161.664,1.568
215.0,7021.504,1.384
64.0,7217.728,1.6
226.0,7144.144,1.512
145.0,6478.384,1.032
144.0,7662.736,1.072
145.0,6779.728,1.04
64.0,7273.792,1.792
144.0,7427.968,1.072
144.0,7364.896,1.056
167.0,6474.88,1.36
171.0,7851.952,1.368
104.0,6580.0,1.376
160.0,7827.424,1.192
128.0,7676.752,1.168
202.0,6029.872,1.08
132.0,6394.288,1.152
214.0,6989.968,1.32
167.0,5647.936,1.664
181.0,6131.488,1.384
127.0,6492.4,1.176
195.0,6355.744,1.264
115.0,6502.912,1.184
117.0,6331.216,1.064
101.0,6478.384,1.192
214.0,6096.448,1.416
200.0,6492.4,1.168
210.0,6355.744,1.256
213.0,6324.208,1.072
77.0,6495.904,1.176
214.0,6989.968,2.224
464.0,6786.736,1.56
222.0,6485.392,1.176
238.0,7056.544,1.192
214.0,7886.992,3.216
221.0,6485.392,1.184
117.0,6446.848,1.048
183.0,6029.872,1.384
190.0,6485.392,1.176
182.0,5721.52,1.28
181.0,6415.312,1.416
174.0,6369.76,1.064
172.0,5893.216,1.152
167.0,6177.04,1.432
167.0,5696.992,1.424
146.0,3044.464,1.576
63.0,6464.368,1.36
152.0,6047.392,1.472
181.0,6187.552,1.544
166.0,6075.424,1.448
182.0,6170.032,1.624
165.0,6050.896,1.456
214.0,7063.552,1.184
214.0,7939.552,1.736
214.0,6436.336,1.304
214.0,7329.856,1.296
181.0,6362.752,1.256
214.0,8475.664,1.384
185.0,6530.944,1.064
149.0,7228.24,1.536
294.0,9484.816,1.264
115.0,7694.272,1.32
171.0,6832.288,1.072
171.0,6881.344,1.216
172.0,7729.312,1.08
171.0,8272.432,1.264
64.0,7112.608,1.664
183.0,6699.136,1.72
117.0,3090.016,1.304
116.0,3079.504,1.296
115.0,3083.008,1.296
144.0,6839.296,1.056
172.0,6513.424,1.064
171.0,8454.64,1.064
171.0,8317.984,1.064
171.0,8191.84,1.04
171.0,7245.76,1.056
171.0,6587.008,1.08
167.0,7053.04,1.632
160.0,7582.144,1.2
159.0,6142.0,1.056
150.0,7217.728,1.416
185.0,7582.144,1.112
171.0,6643.072,1.064
185.0,7645.216,1.064
144.0,6958.432,1.064
185.0,7690.768,1.056
144.0,7743.328,1.064
185.0,8086.72,1.44
213.0,6779.728,1.08
213.0,6569.488,1.072
213.0,7855.456,1.056
213.0,7382.416,1.056
213.0,6832.288,1.064
213.0,7105.6,1.072
216.0,6149.008,1.048
230.0,6499.408,1.032
216.0,6499.408,1.072
216.0,6373.264,1.056
185.0,6636.064,1.08
185.0,6692.128,1.072
185.0,6804.256,1.056
230.0,6544.96,1.352
242.0,6692.128,1.064
172.0,7957.072,1.144
172.0,8384.56,1.088
185.0,6972.448,1.064
185.0,7922.032,1.048
213.0,7270.288,1.056
185.0,7971.088,1.424
172.0,6681.616,1.064
185.0,6411.808,1.088
172.0,7568.128,1.064
242.0,6762.208,1.064
185.0,7413.952,1.072
144.0,6660.592,1.056
64.0,7536.592,1.24
172.0,6569.488,1.056
185.0,7025.008,1.056
185.0,7193.2,1.064
185.0,7249.264,1.064
185.0,7364.896,1.08
185.0,6583.504,1.072
242.0,7249.264,1.184
