m/z,RT1_center,RT2_center
137.0,2690.56,0.88
137.0,2543.392,0.872
57.0,9859.744,1.088
83.0,9838.72,1.048
291.0,8836.576,2.952
294.0,8752.48,2.664
71.0,9845.728,1.216
469.0,9481.312,1.264
233.0,6303.184,1.184
173.0,5767.072,1.312
55.0,9859.744,1.072
168.0,9856.24,1.064
124.0,9856.24,1.056
39.0,9859.744,1.064
365.0,9383.2,1.168
262.0,8780.512,2.664
56.0,9838.72,1.064
150.0,6068.416,2.048
149.0,6057.904,2.064
56.0,8349.52,1.104
172.0,9772.144,1.376
42.0,9074.848,1.096
230.0,9053.824,1.136
56.0,9071.344,1.104
42.0,9484.816,1.272
95.0,2546.896,0.872
95.0,2690.56,0.88
261.0,8787.52,2.664
472.0,10105.024,1.568
56.0,9488.32,1.136
276.0,10543.024,1.712
248.0,9057.328,1.272
83.0,9484.816,1.264
56.0,10091.008,1.52
368.0,9484.816,1.272
58.0,6867.328,1.04
70.0,9838.72,1.064
396.0,10091.008,1.512
382.0,9940.336,1.552
288.0,9933.328,1.536
174.0,9933.328,1.568
172.0,9929.824,1.84
372.0,9271.072,1.44
382.0,9134.416,1.208
41.0,9859.744,1.072
427.0,9239.536,1.368
58.0,6397.792,1.056
372.0,9211.504,1.4
168.0,6362.752,1.224
40.0,9222.016,1.376
44.0,9243.04,1.496
50.0,6047.392,2.192
58.0,5287.024,1.056
37.0,6054.4,2.184
38.0,6054.4,2.192
38.0,9856.24,1.056
39.0,6043.888,2.152
428.0,9239.536,1.44
398.0,9218.512,1.12
396.0,9929.824,1.568
382.0,9656.512,1.456
104.0,6047.392,2.176
460.0,9236.032,1.456
443.0,9232.528,1.472
434.0,9236.032,1.456
294.0,8798.032,2.656
275.0,9926.32,1.552
261.0,9656.512,1.44
239.0,8265.424,1.496
490.0,9232.528,1.464
230.0,9369.184,1.176
354.0,9236.032,1.48
360.0,9236.032,1.44
366.0,9386.704,1.176
121.0,6047.392,2.152
122.0,6047.392,2.144
215.0,9215.008,1.112
215.0,9761.632,1.432
93.0,6047.392,2.16
76.0,6050.896,2.192
67.0,9859.744,1.048
473.0,9211.504,1.44
487.0,9239.536,1.456
473.0,9260.56,1.448
476.0,9239.536,1.488
488.0,9239.536,1.464
233.0,8279.44,1.872
248.0,8265.424,1.872
176.0,6043.888,2.152
124.0,6867.328,1.016
44.0,10087.504,1.512
44.0,9484.816,1.264
174.0,9635.488,1.368
59.0,6867.328,1.024
262.0,9467.296,1.24
340.0,8748.976,0.984
70.0,6867.328,1.024
83.0,6867.328,1.016
56.0,6863.824,1.344
55.0,6867.328,1.016
68.0,6867.328,1.016
41.0,6867.328,1.016
99.0,8265.424,1.368
95.0,9768.64,1.496
109.0,6867.328,1.016
43.0,6867.328,1.024
174.0,5767.072,1.4
171.0,9758.128,1.776
139.0,10098.016,1.688
172.0,9456.784,1.48
172.0,9653.008,1.664
139.0,9758.128,1.72
245.0,10154.08,1.712
274.0,9933.328,1.544
322.0,10087.504,1.504
352.0,9758.128,1.856
361.0,9260.56,1.256
174.0,9460.288,1.264
174.0,9758.128,1.472
230.0,9229.024,1.144
412.0,9463.792,1.208
185.0,9761.632,1.688
228.0,9894.784,1.888
110.0,6867.328,1.016
56.0,8945.2,0.96
70.0,9074.848,1.088
83.0,9092.368,1.056
83.0,9919.312,1.824
382.0,9071.344,1.192
216.0,9281.584,1.176
216.0,9530.368,1.28
412.0,10101.52,1.616
351.0,9414.736,1.248
41.0,9768.64,1.288
41.0,8696.416,1.064
38.0,10098.016,1.68
70.0,9768.64,1.288
67.0,6867.328,1.016
57.0,6867.328,1.016
98.0,9484.816,1.304
98.0,10091.008,1.536
99.0,7053.04,1.448
123.0,6867.328,1.016
321.0,8503.696,1.376
124.0,8156.8,1.224
95.0,6867.328,1.016
98.0,9074.848,1.128
232.0,8941.696,1.32
261.0,9260.56,1.256
85.0,6867.328,1.016
71.0,6867.328,1.016
113.0,6867.328,1.016
171.0,9200.992,1.576
56.0,9768.64,1.28
42.0,10087.504,1.512
352.0,9505.84,1.616
340.0,10087.504,1.544
340.0,9484.816,1.32
340.0,9074.848,1.128
44.0,9071.344,1.08
292.0,8826.064,2.72
55.0,9050.32,1.136
353.0,9236.032,1.256
289.0,9936.832,1.552
351.0,9765.136,1.48
279.0,9236.032,1.272
368.0,10087.504,1.488
366.0,9477.808,1.24
365.0,9824.704,1.48
354.0,9933.328,1.56
394.0,9926.32,1.584
38.0,9929.824,1.568
474.0,9236.032,1.208
243.0,9477.808,1.232
469.0,9789.664,1.248
234.0,9933.328,1.568
234.0,6303.184,1.176
232.0,9474.304,1.232
230.0,10087.504,1.496
276.0,9926.32,1.56
274.0,9660.016,1.456
262.0,10084.0,1.528
248.0,9488.32,1.24
248.0,9243.04,1.224
248.0,8931.184,1.672
248.0,6303.184,1.168
489.0,9239.536,1.312
276.0,10087.504,1.528
395.0,9754.624,1.488
398.0,10087.504,1.472
441.0,8507.2,1.6
444.0,9236.032,1.2
394.0,9866.752,1.6
382.0,10133.056,1.792
394.0,9751.12,1.504
57.0,9488.32,1.288
38.0,9660.016,1.456
38.0,9481.312,1.264
37.0,9758.128,1.488
57.0,8720.944,1.08
56.0,9320.128,0.944
41.0,10087.504,1.504
41.0,9929.824,1.568
69.0,10087.504,1.496
69.0,9488.32,1.256
69.0,9074.848,1.08
67.0,9074.848,1.088
57.0,10087.504,1.52
57.0,9933.328,1.568
110.0,3577.072,1.76
110.0,3506.992,1.848
110.0,3436.912,1.96
56.0,8741.968,1.024
56.0,2543.392,0.912
55.0,8720.944,1.088
50.0,9936.832,1.56
50.0,9751.12,1.48
99.0,7123.12,1.664
98.0,8766.496,0.968
41.0,9477.808,1.28
40.0,10087.504,1.504
40.0,9933.328,1.576
40.0,9758.128,1.488
40.0,9481.312,1.24
40.0,9074.848,1.088
83.0,8720.944,1.08
71.0,10087.504,1.504
71.0,9926.32,1.568
39.0,10091.008,1.504
39.0,9929.824,1.576
39.0,9660.016,1.448
39.0,9477.808,1.272
39.0,9390.208,1.176
70.0,9933.328,1.568
70.0,9488.32,1.272
116.0,9758.128,1.488
116.0,9933.328,1.56
70.0,10087.504,1.504
71.0,8720.944,1.088
71.0,9488.32,1.272
71.0,9660.016,1.456
71.0,9758.128,1.48
124.0,9074.848,1.08
131.0,9071.344,1.08
138.0,9484.816,1.24
83.0,10087.504,1.52
85.0,7627.696,1.584
95.0,3135.568,0.888
95.0,9477.808,1.256
95.0,9929.824,1.568
95.0,10087.504,1.488
116.0,9481.312,1.312
116.0,9074.848,1.104
110.0,3860.896,1.456
110.0,3790.816,1.52
110.0,3717.232,1.6
110.0,3647.152,1.672
215.0,9274.576,1.2
185.0,9933.328,1.568
174.0,10353.808,2.808
110.0,3366.832,2.08
110.0,3296.752,2.2
100.0,10087.504,1.512
100.0,9488.32,1.264
100.0,9074.848,1.088
168.0,10476.448,2.376
168.0,10245.184,2.184
228.0,9754.624,1.504
230.0,9481.312,1.264
116.0,10087.504,1.536
120.0,9933.328,1.56
122.0,9477.808,1.28
122.0,9754.624,1.488
122.0,9929.824,1.576
243.0,9754.624,1.48
244.0,9243.04,1.192
245.0,9751.12,1.488
138.0,10091.008,1.488
139.0,9488.32,1.256
152.0,2543.392,0.912
168.0,9488.32,1.264
168.0,9754.624,1.608
168.0,10087.504,1.52
171.0,9250.048,1.2
170.0,9236.032,1.2
172.0,9502.336,1.264
171.0,9933.328,1.568
174.0,9372.688,1.192
363.0,9348.16,1.2
365.0,9695.056,1.392
365.0,9467.296,1.248
215.0,9523.36,1.304
215.0,9929.824,1.568
215.0,9369.184,1.176
215.0,9449.776,1.24
216.0,9351.664,1.176
216.0,9933.328,1.56
457.0,9239.536,1.208
458.0,9239.536,1.192
149.0,7228.24,1.536
294.0,9484.816,1.264
122.0,9050.32,1.168
39.0,9053.824,1.144
41.0,9053.824,1.144
71.0,9053.824,1.136
57.0,9053.824,1.144
99.0,7704.784,1.992
201.0,8819.056,2.688
120.0,9074.848,1.112
276.0,9074.848,1.088
120.0,10087.504,1.536
120.0,9484.816,1.296
276.0,9488.32,1.272
65.0,6050.896,2.168
262.0,9053.824,1.16
472.0,9796.672,1.568
83.0,9744.112,1.256
122.0,10076.992,1.496
38.0,9744.112,1.256
39.0,9744.112,1.248
122.0,9656.512,1.384
168.0,9053.824,1.136
95.0,9046.816,1.08
