m/z,RT1_center,RT2_center
162.0,5504.272,1.112
137.0,2690.56,0.88
137.0,2543.392,0.872
137.0,3005.92,0.84
116.0,4677.328,1.16
63.0,4673.824,1.16
65.0,4673.824,1.16
182.0,7561.12,1.272
148.0,4694.848,1.408
464.0,2487.328,2.992
464.0,5115.328,1.376
374.0,11394.496,1.048
464.0,2280.592,1.648
464.0,2841.232,1.632
464.0,4537.168,1.576
467.0,11387.488,1.064
464.0,7172.176,2.408
467.0,10238.176,1.064
467.0,9786.16,1.064
168.0,7844.944,1.4
212.0,6506.416,1.184
212.0,6369.76,1.144
467.0,9719.584,1.056
467.0,9842.224,1.056
464.0,2242.048,1.72
467.0,11289.376,1.08
467.0,11089.648,1.072
467.0,10914.448,1.064
467.0,10788.304,1.072
467.0,10651.648,1.072
467.0,10567.552,1.064
467.0,10511.488,1.064
467.0,10287.232,1.072
182.0,7648.72,1.248
263.0,8240.896,1.32
278.0,8461.648,1.36
200.0,6937.408,1.232
263.0,8465.152,1.368
278.0,8247.904,1.32
182.0,7491.04,1.264
153.0,6348.736,1.232
62.0,6692.128,1.336
464.0,7669.744,1.296
214.0,7456.0,1.64
168.0,7217.728,1.024
133.0,4673.824,1.024
137.0,3149.584,0.8
370.0,10974.016,3.296
371.0,10830.352,3.304
371.0,10900.432,3.296
371.0,10970.512,3.296
374.0,10585.072,1.056
374.0,10924.96,1.072
374.0,11299.888,1.072
117.0,4670.32,1.016
464.0,2630.992,1.24
464.0,2623.984,2.864
464.0,2501.344,2.256
464.0,2298.112,3.072
506.0,10889.92,3.28
464.0,2998.912,2.936
464.0,3188.128,3.24
464.0,3268.72,2.432
370.0,10893.424,3.296
370.0,10816.336,3.288
354.0,10952.992,3.264
354.0,10896.928,3.28
464.0,4134.208,1.232
464.0,3664.672,3.24
464.0,3521.008,1.96
464.0,3321.28,2.952
464.0,6695.632,1.104
464.0,6425.824,1.008
464.0,5949.28,2.648
353.0,10854.88,3.288
374.0,10073.488,1.064
374.0,9754.624,1.072
372.0,10928.464,3.304
371.0,11040.592,3.304
453.0,10311.76,1.072
353.0,10907.44,3.28
353.0,10963.504,3.296
353.0,11019.568,3.28
183.0,7704.784,1.008
183.0,6947.92,1.016
183.0,6804.256,1.008
175.0,4526.656,0.896
214.0,2967.376,2.872
220.0,5910.736,2.184
220.0,6138.496,2.848
277.0,8703.424,1.424
464.0,2722.096,2.008
475.0,10914.448,3.288
469.0,2501.344,1.512
30.0,11429.536,0.608
115.0,4670.32,1.016
105.0,4670.32,1.024
63.0,6699.136,1.56
62.0,4673.824,1.024
535.0,10970.512,3.272
506.0,10945.984,3.288
535.0,10900.432,3.288
475.0,10970.512,3.288
475.0,11030.08,3.296
476.0,10914.448,3.288
489.0,10893.424,3.28
464.0,4316.416,1.592
475.0,10858.384,3.296
489.0,10960.0,3.288
464.0,7855.456,1.408
238.0,7844.944,1.408
226.0,6947.92,1.472
224.0,7203.712,1.472
240.0,7291.312,1.168
280.0,7894.0,1.168
184.0,6548.464,1.392
168.0,6362.752,1.224
76.0,6709.648,1.856
118.0,4680.832,1.08
214.0,7333.36,3.184
464.0,7610.176,1.368
212.0,6755.2,1.208
464.0,7396.432,1.216
203.0,6940.912,1.688
174.0,6695.632,1.304
220.0,6898.864,1.504
464.0,7249.264,2.192
155.0,6362.752,1.208
182.0,6534.448,1.36
214.0,8587.792,1.24
214.0,7554.112,2.888
467.0,10034.944,1.064
467.0,11026.576,1.08
467.0,11341.936,1.072
467.0,11145.712,1.072
467.0,9954.352,1.08
152.0,6513.424,1.368
168.0,7063.552,1.304
197.0,6348.736,1.032
155.0,6502.912,1.056
197.0,6502.912,1.064
374.0,11145.712,1.08
374.0,11058.112,1.056
374.0,10998.544,1.056
374.0,11440.048,1.048
453.0,10076.992,1.072
464.0,5949.28,1.352
374.0,11229.808,1.064
464.0,6366.256,1.352
374.0,10311.76,1.064
198.0,6502.912,1.064
374.0,10760.272,1.064
370.0,11047.6,3.304
167.0,6474.88,1.36
104.0,6580.0,1.376
176.0,6706.144,1.856
152.0,6695.632,1.736
464.0,8125.264,1.824
182.0,6481.888,1.288
202.0,6944.416,1.688
204.0,6940.912,1.696
150.0,6709.648,2.008
467.0,9334.144,1.072
467.0,10967.008,1.08
467.0,10844.368,1.064
464.0,5777.584,2.984
453.0,10003.408,1.072
453.0,10395.856,1.056
464.0,3170.608,1.256
467.0,10108.528,1.072
467.0,10175.104,1.08
467.0,11440.048,1.072
464.0,8254.912,1.296
178.0,6720.16,1.992
214.0,7613.68,1.456
214.0,7133.632,1.488
464.0,7357.888,2.504
464.0,5325.568,3.016
453.0,10714.72,1.072
