,coefficient,m/z,RT1,RT2,RT1_center,RT2_center,samples,feature_index,class
1,0.06004428946112636,162.0,"[5483.248,5525.296]","[1.288,0.936]",5504.272,1.112,"Iceland, Jarosite, Atacama, Lignite, Utah, GSFC, Murchison Soil, ALH 83100",4101,1
2,0.05123286393279266,128.0,"[5490.256,5500.768]","[1.28,1.048]",5493.76,1.16,"Iceland, Jarosite, Atacama, GSFC, Murchison Soil",2779,1
3,0.05123286393279266,130.0,"[5490.256,5493.76]","[1.288,1.024]",5490.256,1.16,"Iceland, Jarosite, Atacama, GSFC, Murchison Soil",2892,1
4,0.05123286393279266,63.0,"[5490.256,5497.264]","[1.288,1.024]",5493.76,1.16,"Iceland, Jarosite, Atacama, GSFC, Murchison Soil",738,1
5,0.0499787107717762,116.0,"[5493.76,5500.768]","[1.288,1.024]",5497.264,1.16,"Iceland, Jarosite, Atacama, GSFC, Murchison Soil, LEW 85311",2311,1
6,0.04614810264463132,65.0,"[5493.76,5497.264]","[1.288,1.032]",5493.76,1.16,"Iceland, Jarosite, Atacama, GSFC",859,1
7,0.0450919151308752,129.0,"[5451.712,5497.264]","[1.288,1.04]",5472.736,1.168,"Iceland, Jarosite, Atacama, GSFC, Murchison Soil, LON 94101",2839,1
8,0.03857841252111991,137.0,"[2690.56,2690.56]","[0.92,0.84]",2690.56,0.88,"Iceland, Atacama, Rio Tinto, Utah, Murchison Soil",3096,1
9,0.03857841252111991,137.0,"[2539.888,2546.896]","[0.912,0.832]",2543.392,0.872,"Iceland, Atacama, Rio Tinto, Utah, Murchison Soil",3095,1
10,0.03415927478525518,129.0,"[8360.032,8388.064]","[1.128,1.048]",8374.048,1.088,"Jarosite, Antarctica, GSFC, Murchison Soil, ALH 83100, LON 94101, LEW 85311",2879,1
11,0.03283025140789165,57.0,"[9856.24,9863.248]","[1.136,1.048]",9859.744,1.088,"Atacama, Green R. Shale, Rio Tinto, Lignite, GSFC, Murchison Soil",590,1
12,0.03271942402932987,137.0,"[3005.92,3009.424]","[0.888,0.8]",3005.92,0.84,"Iceland, Atacama, Utah, Murchison Soil",3099,1
13,-0.03184412343019117,168.0,"[5630.416,5675.968]","[1.688,1.2]",5651.44,1.448,"Orgueil, ALH 83100, LON 94101, Aguas Zarcas, Murchison, Jbilet Winselwan, LEW 85311",4293,0
14,-0.03184412343019117,63.0,"[4081.648,4092.16]","[2.192,1.456]",4085.152,1.824,"Orgueil, ALH 83100, LON 94101, Aguas Zarcas, Murchison, Jbilet Winselwan, LEW 85311",727,0
15,-0.03184412343019117,101.0,"[4074.64,4099.168]","[2.192,1.464]",4085.152,1.832,"Orgueil, ALH 83100, LON 94101, Aguas Zarcas, Murchison, Jbilet Winselwan, LEW 85311",1759,0
16,-0.03184412343019117,102.0,"[4081.648,4130.704]","[2.216,1.44]",4106.176,1.832,"Orgueil, ALH 83100, LON 94101, Aguas Zarcas, Murchison, Jbilet Winselwan, LEW 85311",1806,0
17,-0.03184412343019117,127.0,"[4078.144,4099.168]","[2.2,1.456]",4088.656,1.832,"Orgueil, ALH 83100, LON 94101, Aguas Zarcas, Murchison, Jbilet Winselwan, LEW 85311",2747,0
18,-0.03184412343019117,129.0,"[4078.144,4116.688]","[2.184,1.192]",4099.168,1.688,"Orgueil, ALH 83100, LON 94101, Aguas Zarcas, Murchison, Jbilet Winselwan, LEW 85311",2831,0
19,0.03160312514426427,83.0,"[9821.2,9859.744]","[1.056,1.04]",9838.72,1.048,"Atacama, Rio Tinto, Lignite, GSFC, Murchison Soil",1361,1
20,0.03153809236297945,115.0,"[5490.256,5504.272]","[1.528,1.024]",5497.264,1.28,"Iceland, Atacama, GSFC, Murchison Soil, LEW 85311",2239,1
21,0.031192537873078574,160.0,"[5742.544,5788.096]","[1.096,1.008]",5763.568,1.056,"Jarosite, Lignite, GSFC",4026,1
22,-0.03061699716656379,142.0,"[4754.416,4803.472]","[1.856,1.296]",4778.944,1.576,"Green R. Shale, Orgueil, ALH 83100, LON 94101, Aguas Zarcas, Murchison, Jbilet Winselwan, LEW 85311",3306,0
23,0.02979305048631935,116.0,"[4673.824,4677.328]","[1.296,1.024]",4677.328,1.16,"Jarosite, Utah",2302,1
24,0.02979305048631935,63.0,"[4670.32,4677.328]","[1.296,1.024]",4673.824,1.16,"Jarosite, Utah",729,1
25,0.02979305048631935,65.0,"[4670.32,4677.328]","[1.296,1.024]",4673.824,1.16,"Jarosite, Utah",851,1
26,0.029730805881713587,291.0,"[8819.056,8854.096]","[3.24,2.656]",8836.576,2.952,"Jarosite, Atacama, Antarctica, Green R. Shale, Rio Tinto, Murchison Soil, Murchison, EET 96029",7549,1
27,0.02938436818874814,294.0,"[8727.952,8773.504]","[2.696,2.624]",8752.48,2.664,"Jarosite, Rio Tinto, Murchison Soil",7587,1
28,-0.0290308086650738,128.0,"[4078.144,4120.192]","[2.184,1.448]",4099.168,1.816,"Lignite, ALH 83100, LON 94101, Aguas Zarcas, Murchison, Jbilet Winselwan, LEW 85311",2770,0
29,-0.027976450988909086,62.0,"[4078.144,4109.68]","[2.184,1.464]",4095.664,1.824,"Orgueil, LON 94101, Aguas Zarcas, Murchison, Jbilet Winselwan, LEW 85311",673,0
30,-0.027803682401446417,141.0,"[5357.104,5399.152]","[1.688,1.208]",5378.128,1.448,"Green R. Shale, Lignite, ALH 83100, LON 94101, Aguas Zarcas, Murchison, Jbilet Winselwan, LEW 85311",3262,0
31,0.027707484235834565,119.0,"[5490.256,5493.76]","[1.28,1.024]",5490.256,1.152,"Iceland, Atacama, GSFC",2476,1
32,0.027707484235834565,160.0,"[5486.752,5493.76]","[1.288,1.008]",5490.256,1.152,"Iceland, Atacama, GSFC",4024,1
33,0.027707484235834565,147.0,"[5490.256,5497.264]","[1.288,1.024]",5493.76,1.16,"Iceland, Atacama, GSFC",3619,1
34,0.027707484235834565,148.0,"[5490.256,5493.76]","[1.28,1.016]",5490.256,1.152,"Iceland, Atacama, GSFC",3629,1
35,0.027707484235834565,38.0,"[5490.256,5493.76]","[1.288,1.024]",5490.256,1.16,"Iceland, Atacama, GSFC",197,1
36,0.027707484235834565,105.0,"[5490.256,5493.76]","[1.288,1.016]",5490.256,1.152,"Iceland, Atacama, GSFC",1898,1
37,0.027707484235834565,91.0,"[5490.256,5493.76]","[1.288,1.016]",5490.256,1.152,"Iceland, Atacama, GSFC",1483,1
38,-0.026489802115884895,76.0,"[4078.144,4088.656]","[2.184,1.448]",4085.152,1.816,"LON 94101, Aguas Zarcas, Murchison, Jbilet Winselwan, LEW 85311",1104,0
39,0.026453331074818103,117.0,"[5448.208,5493.76]","[1.288,1.008]",5472.736,1.152,"Iceland, Atacama, GSFC, LEW 85311",2369,1
40,0.02634807430882781,161.0,"[5739.04,5739.04]","[1.216,1.216]",5739.04,1.216,"Jarosite, Atacama",4073,1
41,0.02634807430882781,436.0,"[10003.408,10034.944]","[1.256,1.248]",10020.928,1.256,"Jarosite, Atacama",8523,1
42,-0.025933312019845105,160.0,"[7431.472,7477.024]","[1.52,1.048]",7456.0,1.28,"Green R. Shale, Orgueil, ALH 83100, LON 94101, Aguas Zarcas, Murchison, LEW 85311",4044,0
43,-0.025933312019845105,64.0,"[7463.008,7498.048]","[1.512,1.048]",7480.528,1.28,"Green R. Shale, Orgueil, ALH 83100, LON 94101, Aguas Zarcas, Murchison, LEW 85311",824,0
44,-0.025134182197319697,126.0,"[4078.144,4088.656]","[2.184,1.472]",4085.152,1.832,"Orgueil, ALH 83100, LON 94101, Murchison, Jbilet Winselwan, LEW 85311",2733,0
45,-0.025134182197319697,115.0,"[4842.016,4849.024]","[1.872,1.312]",4845.52,1.592,"Orgueil, ALH 83100, LON 94101, Murchison, Jbilet Winselwan, LEW 85311",2232,0
46,-0.025134182197319697,115.0,"[4754.416,4771.936]","[1.848,1.312]",4761.424,1.584,"Orgueil, ALH 83100, LON 94101, Murchison, Jbilet Winselwan, LEW 85311",2231,0
47,-0.025134182197319697,141.0,"[4754.416,4803.472]","[1.848,1.312]",4778.944,1.584,"Orgueil, ALH 83100, LON 94101, Murchison, Jbilet Winselwan, LEW 85311",3257,0
48,0.0249227955078606,71.0,"[9828.208,9863.248]","[1.352,1.072]",9845.728,1.216,"Green R. Shale, Rio Tinto, Lignite, GSFC, Murchison Soil",1057,1
49,-0.024438761870270973,464.0,"[6565.984,6594.016]","[1.216,1.008]",6580.0,1.112,"Orgueil, Aguas Zarcas, Jbilet Winselwan, EET 96029",8792,0
50,0.024417470760381046,162.0,"[4999.696,5003.2]","[1.2,1.136]",4999.696,1.168,"Atacama, GSFC, Murchison Soil",4100,1
51,-0.02434712351835511,168.0,"[6061.408,6110.464]","[1.752,1.24]",6085.936,1.496,"Lignite, ALH 83100, LON 94101, Aguas Zarcas, Murchison, LEW 85311",4298,0
52,-0.024307909894896812,152.0,"[5171.392,5202.928]","[2.152,1.64]",5188.912,1.896,"Orgueil, ALH 83100, LON 94101, LEW 85311, EET 96029",3763,0
53,0.024299606900586797,469.0,"[9463.792,9502.336]","[1.28,1.248]",9481.312,1.264,"Jarosite, Rio Tinto",8904,1
54,0.024299606900586797,233.0,"[6303.184,6306.688]","[1.192,1.176]",6303.184,1.184,"Jarosite, Rio Tinto",6624,1
55,0.024112597022266705,173.0,"[5742.544,5791.6]","[1.6,1.024]",5767.072,1.312,"Jarosite, Green R. Shale, Rio Tinto, Lignite, Orgueil, LEW 85311",4595,1
56,-0.02388002903630324,168.0,"[5682.976,5711.008]","[1.672,1.24]",5696.992,1.456,"Orgueil, ALH 83100, LON 94101, Murchison, Jbilet Winselwan",4294,0
57,0.02372492317906794,70.0,"[8367.04,8370.544]","[1.128,1.088]",8367.04,1.104,"Jarosite, GSFC, LON 94101",1032,1
58,-0.023647533324295505,153.0,"[5630.416,5640.928]","[1.816,1.216]",5633.92,1.52,"ALH 83100, LON 94101, Murchison, Jbilet Winselwan, LEW 85311",3813,0
59,-0.023647533324295505,143.0,"[4838.512,4845.52]","[1.872,1.296]",4842.016,1.584,"ALH 83100, LON 94101, Murchison, Jbilet Winselwan, LEW 85311",3359,0
60,-0.023647533324295505,116.0,"[4740.4,4764.928]","[1.84,1.112]",4754.416,1.48,"ALH 83100, LON 94101, Murchison, Jbilet Winselwan, LEW 85311",2303,0
61,0.023596129615767413,55.0,"[9856.24,9859.744]","[1.088,1.056]",9859.744,1.072,"Green R. Shale, Rio Tinto, GSFC, Murchison Soil",547,1
62,0.023596129615767413,168.0,"[9852.736,9859.744]","[1.072,1.048]",9856.24,1.064,"Green R. Shale, Rio Tinto, GSFC, Murchison Soil",4334,1
63,-0.02346934866657631,142.0,"[4806.976,4852.528]","[1.848,1.024]",4831.504,1.44,"Iceland, Orgueil, ALH 83100, LON 94101, Aguas Zarcas, Murchison, Jbilet Winselwan, LEW 85311",3307,0
64,-0.02346934866657631,141.0,"[4806.976,4856.032]","[1.856,1.008]",4831.504,1.432,"Iceland, Orgueil, ALH 83100, LON 94101, Aguas Zarcas, Murchison, Jbilet Winselwan, LEW 85311",3258,0
65,-0.022393380163279047,142.0,"[4870.048,4894.576]","[1.856,1.272]",4884.064,1.568,"ALH 83100, LON 94101, Murchison, Jbilet Winselwan",3308,0
66,0.02236900335214003,124.0,"[9856.24,9856.24]","[1.056,1.056]",9856.24,1.056,"Rio Tinto, GSFC, Murchison Soil",2705,1
67,0.02236900335214003,39.0,"[9856.24,9859.744]","[1.064,1.056]",9859.744,1.064,"Rio Tinto, GSFC, Murchison Soil",282,1
68,0.02236900335214003,365.0,"[9372.688,9390.208]","[1.176,1.16]",9383.2,1.168,"Rio Tinto, GSFC, Murchison Soil",8144,1
69,-0.022136100291810182,464.0,"[8552.752,8601.808]","[1.912,1.024]",8577.28,1.464,"ALH 83100, Aguas Zarcas, EET 96029",8850,0
70,0.021823847997847045,182.0,"[7561.12,7564.624]","[1.36,1.176]",7561.12,1.272,"Antarctica, Utah",4921,1
71,0.021621547826946072,262.0,"[8755.984,8805.04]","[2.688,2.632]",8780.512,2.664,"Atacama, Antarctica, Rio Tinto, Murchison Soil, Murchison",7209,1
72,0.021523532488694784,148.0,"[4673.824,4712.368]","[1.776,1.032]",4694.848,1.408,"Utah, GSFC, LEW 85311",3626,1
